name,headquarters,country,address,founded,employees,ceo,founders,market_cap,share_price,categories,sector,link,type
unilever group,,netherlands,,,,,,145300000000,,,,,
t-mobile us,,usa,,,,timotheus hottges,,172090000000,,,,,
bank of china,,china,,,,liu liange,,129970000000,,,,,
blackrock,,usa,,,,laurence d,,144120000000,,,,,
schwarz group,,germany,,,,,,103,,,,,
raytheon technologies corporation,,usa,,,,gregory j hayes,,127810000000,,,,,
american express company,,usa,,,,stephen j squeri,,131840000000,,,,,
volkswagen,,germany,,,,,,147140000000,,,,,
applied materials,,usa,,,,thomas j iannotti,,122010000000,,,,,
hsbc holdings,,uk,,,,,,108530000000,,,,,
the goldman sachs group,,usa,,,,david solomon,,139390000000,,,,,
wuliangye yibin,,china,,,,zeng congqin,,120940000000,,,,,
citi group,,usa,,,,john c dugan,,145750000000,,,,,
china mobile,,china,,,,yang jie,,127770000000,,,,,
amgen,,usa,,,,robert a bradway,,128070000000,,,,,
youtube,,usa,,,,,,113,,,,,
estee lauder companies,,usa,,,,william p lauder,,123020000000,,,,,
boeing company,,usa,,,,,,128660000000,,,,,
sanofi,,france,,,,,,130900000000,,,,,
starbucks corporation,,usa,,,,howard schultz,,138530000000,,,,,
commonwealth bank of australia,,australia,,,,,,132470000000,,,,,
aia group,,hong kong,,,,lee yuan siong,,147550000000,,,,,
diageo,,uk,,,,,,112110000000,,,,,
american tower corporation reit,,usa,,,,james d taiclet jr,,133740000000,,,,,
caterpillar,,usa,,,,jim umpleby,,115440000000,,,,,
ibm,,usa,,,,,,125790000000,,,,,
rio tinto group,,uk,,,,,,121550000000,,,,,
deere & company,,usa,,,,john c may,,118130000000,,,,,
intuitive surgical,,usa,,,,craig h barratt,,125360000000,,,,,
hdfc bank,,india,,,,,,121600000000,,,,,
prologis,,usa,,,,hamid moghadam,,99902000000,,,,,
servicenow,,usa,,,,fred luddy,,127500000000,,,,,
general electric company,,usa,,,,,,115700000000,,,,,
target corporation,,usa,,,,navneet kapoor,,120540000000,,,,,
glaxosmithkline,,uk,,,,,,102500000000,,,,,
china life insurance company,,china,,,,yang mingsheng,,105170000000,,,,,
anheuser-busch inbev,,belgium,,,,,,123700000000,,,,,
charter communications,,usa,,,,thomas m rutledge,,150120000000,,,,,
gazprom,,russia,,,,viktor zubkov,,102610000000,,,,,
s&p global,,usa,,,,richard e thornburgh,,106960000000,,,,,
schneider electric,,france,,,,,,100250000000,,,,,
ingram micro,,usa,,,,,,139,,,,,
vanguard group,,usa,,,,tim buckley,,,,,,,
conocophillips company,,usa,,,,ryan lance,,74359000000,,,,,
jdcom,,china,,,,richard qiangdong liu,,122680000000,,,,,
micron technology,,usa,,,,robert e switz,,82968000000,,,,,
anthem,,usa,,,,elizabeth e tallett,,91462000000,,,,,
airbnb,,usa,,,,brian chesky,,97433000000,,,,,
airbus,,netherlands,,,,,,108800000000,,,,,
koch industries,,usa,,,,charles g koch,,145,,,,,
bytedance,,china,,,,zhang yiming,,145,,,,,
sea limited,,singapore,,,,forrest li,,181990000000,,,,,
3m company,,usa,,,,mike roman,,112680000000,,,,,
allianz se,,germany,,,,,,97559000000,,,,,
infosys,,india,,,,,,101040000000,,,,,
merck kgaa on,,germany,,,,,,103430000000,,,,,
nippon telegraph and telephone corporation,,japan,,,,satoshi miura,,98171000000,,,,,
ntt docomo,,japan,,,,motoyuki ii,,97019000000,,,,,
kering,,france,,,,,,101460000000,,,,,
automatic data processing adp,,usa,,,,arthur f weinbach,,88441000000,,,,,
booking holdings,,usa,,,,robert j mylod jr,,94424000000,,,,,
zoetis,,usa,,,,juan ramon alaix,,97222000000,,,,,
stryker corporation,,usa,,,,kevin a lobo,,104490000000,,,,,
lockheed martin corporation,,usa,,,,marillyn hewson,,100260000000,,,,,
inditex industria de diseno textil,,spain,,,,marta ortega,,106260000000,,,,,
ford motor company,,usa,,,,william clay ford jr,,52052000000,,,,,
bp plc,,uk,,,,,,83106000000,,,,,
csl,,australia,,,,,,104100000000,,,,,
al rajhi banking and investment corporation,,saudi arabia,,,,abdullah bin sulaiman,,81675000000,,,,,
robert bosch,,germany,,,,stefan hartung,,163,,,,,
the pnc financial services group,,usa,,,,jim rohr,,81216000000,,,,,
saudi basic industries corporation sabic,,saudi arabia,,,,abdulaziz saleh aljarbou,,99468000000,,,,,
lam research corporation,,usa,,,,abhijit y talwalkar,,85857000000,,,,,
mondelez international,,usa,,,,dirk van de put,,86888000000,,,,,
byd company,,china,,,,wang chuanfu,,111350000000,,,,,
deutsche telekom ag,,germany,,,,,,100940000000,,,,,
snowflake,,usa,,,,frank slootman,,90118000000,,,,,
altria group,,usa,,,,farrell,,92628000000,,,,,
audi ag,,germany,,,,,,82150000000,,,,,
deloitte,,uk,,,,punit renjen,,171,,,,,
bnp paribas,,france,,,,,,81165000000,,,,,
us bancorp,,usa,,,,andrew cecere,,85088000000,,,,,
general motors company,,usa,,,,mary barra,,71149000000,,,,,
cargill,,usa,,,,,,174,,,,,
recruit holdings,,japan,,,,masumi minegishi,,96041000000,,,,,
brookfield asset management,,canada,,,,frank mckenna,,87110000000,,,,,
equinor asa,,norway,,,,marit arnstad,,69062000000,,,,,
british american tobacco,,uk,,,,,,86485000000,,,,,
mercedec benz group ag,,germany,,,,,,89843000000,,,,,
gilead sciences,,usa,,,,daniel oday,,91252000000,,,,,
essilor luxottica,,france,,,,,,87399000000,,,,,
the tjx companies,,usa,,,,ernie herrman,,87449000000,,,,,
analog devices,,usa,,,,vincent roche,,87571000000,,,,,
bank of nova scotia,,canada,,,,brian j porter,,75020000000,,,,,
tokyo electron limited,,japan,,,,tetsuo tsuneishi,,67212999999,,,,,
canadian national railway company,,canada,,,,robert pace,,83116000000,,,,,
truist financial corporation,,usa,,,,william h bill rogers jr,,76165000000,,,,,
moderna,,usa,,,,stephane bancel,,152050000000,,,,,
chubb,,switzerland,,,,evan g greenberg,,80693000000,,,,,
swatch group ag,,switzerland,,,,nayla hayek,,72635000000,,,,,
midea group,,china,,,,fang hongbo,,72414000000,,,,,
sherwin-williacompany,,usa,,,,john g morikis,,79957000000,,,,,
pricewaterhousecoopers,,uk,,,,sanjeev krishan,,193,,,,,
compagnie financiere richemont sa,,switzerland,,,,jerome lambert,,62283000000,,,,,
air liquide,,france,,,,,,84795000000,,,,,
crown castle international corporation,,usa,,,,landis martin,,84373000000,,,,,
sberbank of russia,,russia,,,,sergey ignatiev,,101810000000,,,,,
csx corporation,,usa,,,,michael j ward,,73339000000,,,,,
blackstone group,,usa,,,,stephen a schwarzman,,89938000000,,,,,
allergan,,ireland,,,,brenton l saunders,,200,,,,,
marsh & mclennan companies,,usa,,,,,,79642000000,,,,,
publix,,usa,,,,ed crenshaw,,200,,,,,
enbridge,,canada,,,,al monaco,,79749000000,,,,,
softbank group,,japan,,,,masayoshi son,,111870000000,,,,,
siemens healthineers ag,,germany,,,,,,78575000000,,,,,
cme group,,usa,,,,terrence a duffy,,72445000000,,,,,
uber technologies,,usa,,,,ronald sugar,,73753000000,,,,,
duke energy corporation,,usa,,,,james e rogers jr,,80519000000,,,,,
national commercial bank,,saudi arabia,,,,michael lee-chin,,73057000000,,,,,
life insurance corporation of india,,india,,,,,,,,,,,
enel,,italy,,,,michele crisostomo,,93913000000,,,,,
psbc postal savings bank of china,,china,,,,lv jiajin,,73135000000,,,,,
china yangtze power,,china,,,,ming shan lei,,67611999999,,,,,
mitsubishi ufj financial group,,japan,,,,hironori kamezawa,,70953000000,,,,,
deutsche post ag,,germany,,,,,,86161000000,,,,,
reliance jio,,india,,,,,,,,,,,
hca healthcare,,usa,,,,thomas frist iii,,80990000000,,,,,
atlas copco ab,,sweden,,,,mats rahmstrom,,81730000000,,,,,
china petroleum & chemical corporation sinopec,,china,,,,dai houliang,,74987000000,,,,,
investor ab publ,,sweden,,,,jacob wallenberg,,76632000000,,,,,
cigna corporation,,usa,,,,h edward hanway,,71984000000,,,,,
illinois tool works,,usa,,,,e scott santi,,73343000000,,,,,
atlassian corporation,,australia,,,,shona brown,,92469000000,,,,,
edwards lifesciences corporation,,usa,,,,michael a mussallem,,73042000000,,,,,
hindustan unilever,,india,,,,,,89838000000,,,,,
rivian automotive inc,,usa,,,,robert joseph scaringe,,2,,,,,
abb,,switzerland,,,,morten wierod,,74202000000,,,,,
rosneft oil company,,russia,,,,gerhard schroder,,71568000000,,,,,
adyen,,netherlands,,,,,,95554000000,,,,,
intercontinental exchange,,usa,,,,jeffrey c sprecher,,67313999999,,,,,
axa,,france,,,,antoine gosset-grainville,,67669000000,,,,,
bank of montreal,,canada,,,,george a cope,,64522000000,,,,,
icici bank,,india,,,,,,69454000000,,,,,
hong kong exchanges and clearing hkex,,hong kong,,,,laura cha,,81454000000,,,,,
hangzhou hikvision digital technology,,china,,,,chen zongnian,,74514000000,,,,,
sk hynix,,south korea,,,,lee seok-hee,,63866000000,,,,,
the southern company,,usa,,,,david m ratcliffe,,69597000000,,,,,
becton dickinson and company,,usa,,,,edward j ludwig,,72286000000,,,,,
norfolk southern corporation,,usa,,,,charles moorman,,62617000000,,,,,
foshan haitian flavouring and food company,,china,,,,pang kang,,58797000000,,,,,
iberdrola,,spain,,,,jose ignacio sanchez galan,,78478000000,,,,,
fiserv,,usa,,,,frank bisignano,,78001000000,,,,,
vale sa,,brazil,,,,jose luciano duarte penido,,95523000000,,,,,
fidelity national information services,,usa,,,,gary a norcross,,78922000000,,,,,
shin-etsu chemical,,japan,,,,chihiro kanagawa,,69588000000,,,,,
dassault systemes,,france,,,,,,74752000000,,,,,
colgate-palmolive company,,usa,,,,noel r wallace,,66104000000,,,,,
glencore,,switzerland,,,,,,60237000000,,,,,
bayerische motoren werke bmw,,germany,,,,,,61301000000,,,,,
canadian pacific railway,,canada,,,,andrew reardon,,45872000000,,,,,
ernst & young,,uk,,,,,,245,,,,,
marvell technology group,,bermuda,,,,rick hill,,50396000000,,,,,
pinduoduo,,china,,,,colin huang zheng,,125350000000,,,,,
fedex corporation,,usa,,,,raj subramaniam,,70724000000,,,,,
equinix,,usa,,,,peter van camp,,76000000000,,,,,
novatek,,russia,,,,,,73220000000,,,,,
moody's corporation,,usa,,,,raymond w mcdaniel,,70899000000,,,,,
lucid group inc,,usa,,,,andrew liveris,,32308000000,,,,,
national australia bank,,australia,,,,,,69046000000,,,,,
basf se,,germany,,,,,,70978000000,,,,,
ap moller - maersk a/s,,denmark,,,,soren skou,,53954000000,,,,,
petroleo brasileiro - petrobras,,brazil,,,,roberto castello branco,,68486999999,,,,,
aldi,,germany,,,,,,256,,,,,
kddi corporation,,japan,,,,takashi tanaka,,69533000000,,,,,
longi green energy technology,,china,,,,baoshen zhong,,69039000000,,,,,
zurich insurance group ag,,switzerland,,,,tom de swaan,,65651000000,,,,,
waste management,,usa,,,,thomas tom h weidemeyer,,65316999999,,,,,
nongfu spring,,china,,,,,,59798000000,,,,,
eaton corporation,,ireland,,,,craig arnold,,67108000000,,,,,
netease,,china,,,,ding lei,,67760000000,,,,,
denso corporation,,japan,,,,koji arima,,54482000000,,,,,
ubs group ag,,switzerland,,,,colm kelleher,,57919000000,,,,,
snap inc,,usa,,,,michael lynton,,120340000000,,,,,
industrial bank,,china,,,,yiping tao,,59705000000,,,,,
america movil,,mexico,,,,carlos slim domit,,65349999999,,,,,
pt bank central asia tbk,,indonesia,,,,jahja setiaatmadja,,56651000000,,,,,
air products and chemicals,,usa,,,,seifi ghasemi,,59660000000,,,,,
ecolab,,usa,,,,douglas m baker jr,,64473000000,,,,,
capital one financial corporation,,usa,,,,richard fairbank,,74042000000,,,,,
nidec corporation,,japan,,,,shigenobu nagamori,,67613000000,,,,,
daikin industries,,japan,,,,noriyuki inoue,,73464000000,,,,,
block inc,,usa,,,,jack dorsey,,123230000000,,,,,
dbs group holdings,,singapore,,,,dhanabalan,,57451000000,,,,,
whatsapp,,usa,,,,,,276,,,,,
china shenhua energy company,,china,,,,yang jiping,,57673000000,,,,,
dominion energy,,usa,,,,robert m blue,,62933000000,,,,,
regeneron pharmaceuticals,,usa,,,,leonard schleifer,,72417000000,,,,,
stellantis nv,,netherlands,,,,john elkann,,62339000000,,,,,
progressive corporation,,usa,,,,peter b lewis,,56388000000,,,,,
china tourism group duty free corporation limited,,china,,,,,,69203000000,,,,,
mediatek,,taiwan,,,,ming-kai tsai,,52812000000,,,,,
kla corporation,,usa,,,,kenneth levy,,51924000000,,,,,
northrop grumman corporation,,usa,,,,kathy warden,,58872000000,,,,,
ferrari,,italy,,,,john elkann,,53761000000,,,,,
wal-mart de mexico,,mexico,,,,eduardo solorzano morales,,62400000000,,,,,
workday,,usa,,,,chano fernandez,,67744000000,,,,,
shenzhen mindray bio-medical electronics,,china,,,,,,60359000000,,,,,
public storage,,usa,,,,joseph d russell jr,,56793000000,,,,,
hdfc,,india,,,,,,68936000000,,,,,
aon,,usa,,,,dennis l mahoney,,64757999999,,,,,
reckitt benckiser group,,uk,,,,,,54780000000,,,,,
bajaj finance,,india,,,,,,63560000000,,,,,
freeport-mcmoran,,usa,,,,james r moffett,,53423000000,,,,,
banco santander,,spain,,,,,,63883000000,,,,,
coinbase global inc,,usa,,,,brian armstrong,,67831999999,,,,,
ab volvo,,sweden,,,,carl-henric svanberg,,56225000000,,,,,
vinci,,france,,,,,,63458000000,,,,,
pernod ricard,,france,,,,,,56418000000,,,,,
boston scientific corporation,,usa,,,,michael f mahoney,,64287000000,,,,,
saudi telecom company stc,,saudi arabia,,,,olayan m alwetaid,,72144000000,,,,,
anglo american,,uk,,,,,,57498000000,,,,,
infineon technologies ag,,germany,,,,,,55947000000,,,,,
pjsc lukoil,,russia,,,,,,55821000000,,,,,
softbank corp,,japan,,,,ken miyauchi,,63618000000,,,,,
general dynamics corporation,,usa,,,,nicholas chabraja,,55995000000,,,,,
scentre group,,australia,,,,,,10700000000,,,,,
nxp semiconductors,,netherlands,,,,kurt sievers,,60355000000,,,,,
state bank of india,,india,,,,,,53704000000,,,,,
relx,,uk,,,,,,58323000000,,,,,
xiaomi corporation,,china,,,,lei jun,,82097000000,,,,,
macquarie group,,australia,,,,,,47650000000,,,,,
illumina,,usa,,,,john w thompson,,71546000000,,,,,
autodesk,,usa,,,,stacy j smith,,68224000000,,,,,
lonza group,,switzerland,,,,albert m baehny,,61909000000,,,,,
anz banking group,,australia,,,,,,60181000000,,,,,
eog resources,,usa,,,,ezra yacob,,39422000000,,,,,
china telecom corporation,,china,,,,ke ruiwen,,59710000000,,,,,
westpac banking corporation,,australia,,,,,,69093000000,,,,,
emerson electric company,,usa,,,,lal karsanbhai,,63068000000,,,,,
metlife,,usa,,,,c robert henrikson,,53128000000,,,,,
vertex pharmaceuticals,,usa,,,,reshma kewalramani,,51961000000,,,,,
shanxi xinghuacun fen wine factory,,china,,,,,,51060000000,,,,,
ing group,,netherlands,,,,,,53954000000,,,,,
hitachi,,japan,,,,toshiaki higashihara,,54345000000,,,,,
hapag-lloyd,,germany,,,,,,40048000000,,,,,
canadian imperial bank of commerce,,canada,,,,katharine stevenson,,51764000000,,,,,
johnson controls international,,usa,,,,george r oliver,,53395000000,,,,,
yihai kerry arawana holdings co ltd,,china,,,,,,55886000000,,,,,
canadian natural resources,,canada,,,,n murray edwards,,39058000000,,,,,
verbund ag,,austria,,,,martin ohneberg,,38474000000,,,,,
sika ag,,switzerland,,,,paul j halg,,50743000000,,,,,
exelon corporation,,usa,,,,frank m clark,,47933000000,,,,,
open joint stock company omz,,russia,,,,,,46998000000,,,,,
dollar general corporation,,usa,,,,david perdue,,52007000000,,,,,
first abu dhabi bank,,uae,,,,hana al rostamani,,50500000000,,,,,
pacificorp,,usa,,,,stefan bird,,61343000000,,,,,
thomson reuters corporation,,canada,,,,david thomson,,57960000000,,,,,
adidas,,germany,,,,,,69940000000,,,,,
east money information,,china,,,,,,49209000000,,,,,
mercadolibre,,argentina,,,,stelleo passos tolda,,92834000000,,,,,
nintendo,,japan,,,,shuntaro furukawa,,58231000000,,,,,
bayer,,germany,,,,,,55343000000,,,,,
safran,,france,,,,,,54464000000,,,,,
luzhou laojiao,,china,,,,liu miao,,40027000000,,,,,
marriott international,,usa,,,,bill marriott,,44009000000,,,,,
wipro,,india,,,,,,51170000000,,,,,
intesa sanpaolo,,italy,,,,gian maria gros-pietro,,55537000000,,,,,
great wall motor company,,china,,,,wei jianjun,,73913000000,,,,,
fast retailing,,japan,,,,tadashi yanai,,68150000000,,,,,
london stock exchange group,,uk,,,,,,55704000000,,,,,
hon hai precision industry,,taiwan,,,,liu young-way,,55404000000,,,,,
baidu,,china,,,,robin li,,54652000000,,,,,
chugai pharmaceutical,,japan,,,,christoph franz,,65402000000,,,,,
simon property group,,usa,,,,david simon,,45156000000,,,,,
keurig pepper,,usa,,,,robert gamgort,,50562000000,,,,,
sf holding,,china,,,,,,40051000000,,,,,
ikea,,usa,,,,anders dahlvig,,358,,,,,
dsv panalpina,,denmark,,,,thomas plenborg,,60941000000,,,,,
ping an bank,,china,,,,ma mingzhe peter,,52047000000,,,,,
national grid transco,,uk,,,,,,46940000000,,,,,
palo alto networks,,usa,,,,nikesh arora,,44859000000,,,,,
te connectivity,,switzerland,,,,tom lynch,,49272000000,,,,,
eni spa,,italy,,,,lucia calvosa,,44110000000,,,,,
luxshare precision industry,,china,,,,lai chun wang,,36208000000,,,,,
bharti airtel,,india,,,,,,50778000000,,,,,
the bank of new york mellon corporation,,usa,,,,gerald l hassell,,47664000000,,,,,
fortinet,,usa,,,,ken xie,,52163000000,,,,,
biontech se,,germany,,,,ugur sahin,,79834000000,,,,,
hoya corporation,,japan,,,,hiroshi suzuki,,60197000000,,,,,
qatar national bank,,qatar,,,,he ali ahmed al kuwari,,47782000000,,,,,
zoom video communications,,usa,,,,eric yuan,,86019000000,,,,,
enterprise products partners,,usa,,,,william c montgomery,,48647000000,,,,,
bank of communications,,china,,,,ren deqi,,47967000000,,,,,
jiangsu hengrui medicine,,china,,,,sun piaoyang,,44709000000,,,,,
lloyds banking group,,uk,,,,,,43652000000,,,,,
honda motor,,japan,,,,fumihiko ike,,52753000000,,,,,
murata manufacturing,,japan,,,,tsuneo murata,,54946000000,,,,,
synopsys,,usa,,,,aart j de geus,,50979000000,,,,,
wanhua chemical group,,china,,,,liao zengtai,,50393000000,,,,,
vmware,,usa,,,,michael dell,,62373000000,,,,,
oriental land,,japan,,,,toshio kagami,,49349000000,,,,,
kotak mahinbank,,india,,,,,,48370000000,,,,,
american international group aig,,usa,,,,brian duperreault,,46660000000,,,,,
ihs markit,,uk,,,,lance uggla,,48073000000,,,,,
wuxi apptec,,china,,,,ge li,,61367000000,,,,,
activision blizzard,,usa,,,,bobby kotick,,64060000000,,,,,
monster beverage corporation,,usa,,,,rodney cyril sacks,,51730000000,,,,,
first gulf bank,,uae,,,,,,,,,,,
southern copper corporation,,mexico,,,,german larrea mota-velasco,,48387000000,,,,,
nordea bank abp,,finland,,,,torbjorn magnusson,,49772000000,,,,,
prudential,,uk,,,,,,54470000000,,,,,
sumitomo mitsui financial group,,japan,,,,takeshi kunibe,,48103000000,,,,,
cnooc limited,,china,,,,wang dongjin,,46085000000,,,,,
schlumberger,,usa,,,,andrew gould,,39212000000,,,,,
amphenol corporation,,usa,,,,martin h loeffler,,45839000000,,,,,
iqvia holdings,,usa,,,,ari bousbib,,49767000000,,,,,
roblox corp,,usa,,,,david b baszucki,,47191000000,,,,,
citic securities company,,china,,,,zhu hexin,,48814000000,,,,,
roper technologies,,usa,,,,neil hunn,,50949000000,,,,,
pioneer natural resources company,,usa,,,,scott d sheffield,,36513000000,,,,,
kimberly-clark corporation,,usa,,,,thomas j falk,,46409000000,,,,,
eqt ab publ,,sweden,,,,conni jonsson,,50965000000,,,,,
xilinx,,usa,,,,dennis segers,,38504000000,,,,,
mitsubishi corporation,,japan,,,,takehiko kakiuchi,,44754000000,,,,,
tc energy corporation,,canada,,,,francois poirier,,46497000000,,,,,
edeka group,,germany,,,,markus mosa,,,,,,,
wesfarmers,,australia,,,,,,48639000000,,,,,
barclays plc,,uk,,,,,,43534000000,,,,,
bce bell canada enterprises,,canada,,,,mirko bibic,,47255000000,,,,,
newmont corporation,,usa,,,,wayne w murdy,,46341000000,,,,,
3i group,,uk,,,,,,40133000000,,,,,
mmc norilsk nickel,,russia,,,,andrey bougrov,,51394000000,,,,,
hcl technologies,,india,,,,,,44226000000,,,,,
orsted a/s,,denmark,,,,thomas thune andersen,,67699000000,,,,,
humana,,usa,,,,kurt hilzinger,,52110000000,,,,,
idexx laboratories,,usa,,,,jonathan w ayers,,58445000000,,,,,
nio inc,,china,,,,bin li,,64410000000,,,,,
samsung biologics,,south korea,,,,john rim,,54740000000,,,,,
walgreens boots alliance,,usa,,,,stefano pessina,,43898000000,,,,,
paychex,,usa,,,,martin mucci,,41190000000,,,,,
muyuan foods,,china,,,,qin yinglin,,35352000000,,,,,
credit agricole,,france,,,,,,44696000000,,,,,
constellation brands,,usa,,,,richard sands,,40707000000,,,,,
givaudan sa,,switzerland,,,,calvin grieder,,45552000000,,,,,
cadence design systems,,usa,,,,anirudh devgan,,45248000000,,,,,
o'reilly automotive,,usa,,,,david e oreilly,,40963000000,,,,,
asian paints,,india,,,,,,44366000000,,,,,
lululemon athletica,,canada,,,,glenn k murphynon-executive chairman,,54166000000,,,,,
spacex,,usa,,,,elon musk,,427,,,,,
stripe,,usa,,,,,,427,,,,,
cognizant technology solutions,,usa,,,,rajesh nambiar,,40292000000,,,,,
