ceo,country,market_value_jan_2020,market_value_jan_2021,market_value_jan_2022,name,employees_2022,revenue_2022,sector
ralph hamers,switzerland,46416000000.0,51211000000.0,66672000000,ubs group ag,"71,551",0,financial services
carlos tavares,netherlands,,47530000000.0,64800000000,stellantis nv,"189,512",164660000,automobile
benedetto vigna,italy,42029000000.0,57566000000.0,62961000000,ferrari,"4,556",4706000,consumer cyclical
laxman narasimhan,uk,57941000000.0,63484000000.0,62297000000,reckitt benckiser group,"43,000",17323000,consumer defensive
jose antonio alvarez,spain,71788000000.0,54044000000.0,61025000000,banco santander,"191,189",0,financial services
martin lundstedt,sweden,35336000000.0,48101000000.0,60845000000,ab volvo,"95,850",39083000,industries
xavier huillard,france,64245000000.0,55686000000.0,60651000000,vinci,"217,731",55080000,industries
alexanricard,france,47441000000.0,49849000000.0,60061000000,pernod ricard,"18,500",8821000,consumer defensive
duncan wanblad,uk,39779000000.0,45192000000.0,59386000000,anglo american,"90,000",41554000,basic materials
reinhard ploss,germany,29405000000.0,49718000000.0,59352000000,infineon technologies ag,"50,288",12188000,technology
vagit alekperov,russia,66226000000.0,45541000000.0,59246000000,pjsc lukoil,"101,000",110010000,energy
kurt sievers,netherlands,35769000000.0,44483000000.0,58859000000,nxp semiconductors,"31,000",11063000,technology
erik engstrom,uk,48354000000.0,47199000000.0,58743000000,relx,"33,500",9482000,communication services
pierre-alain ruffieux,switzerland,27306000000.0,47276000000.0,57618000000,lonza group,"16,218",5750000,healthcare
steven van rijswijk,netherlands,47989000000.0,36659000000.0,56183000000,ing group,"57,000",0,financial services
rolf habben jansen,germany,15139000000.0,19669000000.0,55995000000,hapag-lloyd,"14,100",24545000,industries
michael strugl,austria,17611000000.0,29551000000.0,55641000000,verbund ag,"2,980",4776000,utilities
paul schuler,switzerland,26539000000.0,38362000000.0,55610000000,sika ag,"24,848",9835000,basic materials
,russia,,,55251000000,open joint stock company omz,,387000000,industries
kasper rorsted,germany,64440000000.0,70751000000.0,54843000000,adidas,"62,285",23400000,consumer cyclical
werner baumann,germany,78085000000.0,57610000000.0,54460000000,bayer,"99,538",48577000,healthcare
olivier andries,france,65788000000.0,60282000000.0,54377000000,safran,"76,800",16677000,industries
carlo messina,italy,46651000000.0,45193000000.0,53948000000,intesa sanpaolo,"105,615",22427000,financial services
david schwimmer,uk,35743000000.0,43305000000.0,53536000000,london stock exchange group,"24,158",8823000,financial services
jens bjorn andersen,denmark,26448000000.0,37874000000.0,52508000000,dsv panalpina,"56,000",26981000,industries
john pettigrew,uk,43268000000.0,41826000000.0,52115000000,national grid transco,"23,683",21730000,utilities
terrence curtin,switzerland,32389000000.0,40043000000.0,51743000000,te connectivity,"89,000",14293000,technology
claudio descalzi,italy,56976000000.0,37260000000.0,51734000000,eni spa,"31,495",84380000,energy
,germany,8122999999.0,19629000000.0,51375000000,biontech se,"1,941",18970000,healthcare
charlie nunn,uk,58757000000.0,35299000000.0,51001000000,lloyds banking group,"61,576",0,financial services
lance uggla,uk,30142000000.0,37882000000.0,50254000000,ihs markit,"16,000",1860000,industries
frank vang-jensen,finland,34476000000.0,32835000000.0,49607000000,nordea bank abp,"28,051",0,financial services
charles f lowrey,uk,50487000000.0,47903000000.0,49339000000,prudential,"18,687",26500000,financial services
christian sinding,sweden,11604000000.0,24261000000.0,48284000000,eqt ab publ,"1,160",150000000,financial services
,uk,,5823000000.0,6537000000,f&c investment trust,,1275000,investments
c s venkatakrishnan,uk,42108000000.0,34698000000.0,47535000000,barclays plc,"83,000",0,financial services
simon a borrows,uk,13982000000.0,27376000000.0,47296000000,3i group,282,4882000,financial services
vladimir potanin,russia,49697000000.0,51115000000.0,47226000000,mmc norilsk nickel,"75,901",17852000,basic materials
mads nipper,denmark,43383000000.0,85753000000.0,46812000000,orsted a/s,"6,429",11496000,utilities
philippe brassac,france,42590000000.0,36631000000.0,46250000000,credit agricole,"73,037",0,financial services
gilles andrier,switzerland,29034000000.0,38532000000.0,46065000000,givaudan sa,"16,842",7105000,basic materials
kevin p clark,ireland,24587000000.0,35182000000.0,45844000000,aptiv,"151,000",15618000,consumer cyclical
jean-marc chery,switzerland,24827000000.0,33637000000.0,45434000000,stmicroelectronics,"48,254",13249000,technology
,ireland,,34427000000.0,44959000000,trane technologies plc,"37,000",14136000,industry machinery
joachim wenning,germany,42927000000.0,41423000000.0,43178000000,munchener ruckversicherungs-gesellschaft,"39,642",76540000,financial services
nick read,uk,51930000000.0,44228000000.0,43005000000,vodafone group,"105,000",53685000,communication services
daniel ek,sweden,26472000000.0,59655000000.0,42828000000,spotify technology,"6,617",10654000,communication services
brian cassin,ireland,30293000000.0,34833000000.0,42818000000,experian,"17,800",6288000,industries
rolf eberhard buch,germany,29359000000.0,41167000000.0,41881000000,vonovia se,"10,622",3622000,real estate
onur genc,spain,38366000000.0,33030000000.0,41592000000,banco bilbao vizcaya argentaria,"110,432",0,financial services
dominic blakemore,uk,40778000000.0,33247999999.0,41111000000,compass group,"478,070",23442000,consumer cyclical
albert manifold,ireland,32174999999.0,32392000000.0,41041000000,crh plc,"79,200",30981000,basic materials
veronique penchienati bosetta,switzerland,53720000000.0,42539000000.0,40795000000,da,"101,911",26758000,consumer defensive
ola rollen,sweden,21601000000.0,33334000000.0,40645000000,hexagon ab publ,"20,532",4784000,technology
david layton,switzerland,24318000000.0,31213000000.0,40541000000,partners group holding ag,"1,519",2688000,financial services
david j endicott,switzerland,27556000000.0,32945999999.0,39766000000,alcon,"23,655",8291000,healthcare
peter vanacker,finland,27033000000.0,55316000000.0,39108000000,neste oyj,"4,825",16693000,energy
aiman ezzat,france,20904000000.0,25017000000.0,38876000000,capgemini se,"289,501",20012000,technology
joachim kreuzburg,germany,15435000000.0,28673000000.0,38531000000,sartorius stedim biotech,"9,016",3180000,healthcare
benoit bazin,france,22564000000.0,24203000000.0,38477000000,compagnie de saint-gobain,"167,552",48664000,ceramic products
kevin murphy,uk,20269000000.0,27339000000.0,38468000000,ferguson,"34,352",22792000,industries
detlef trefzger,switzerland,20313000000.0,27533000000.0,38466000000,kuehne nagel international ag,"78,249",34867000,industries
johan thijs,belgium,31905000000.0,29064000000.0,38016000000,kbc group nv,"33,916",0,financial services
alison rose,uk,39388000000.0,27807000000.0,37790000000,natwest group,"59,900",0,banking services
borje ekholm,sweden,30747000000.0,39838000000.0,37525000000,ericsson,"101,322",24393000,technology
dimitri de vreeze,netherlands,23047000000.0,29568000000.0,37187000000,dsm,"23,127",9201000,basic materials
jean-bernard levy,france,34932000000.0,48662000000.0,37063000000,edf electricite de france,"20,477",93076000,utilities
henrik ehrnrooth,finland,33917000000.0,41954000000.0,36770000000,kone oyj,"61,380",11586000,industries
brendan horgan,uk,14376000000.0,21123000000.0,36701000000,ashtead group,"19,386",7962000,industries
kjerstin braathen,norway,29967000000.0,30189000000.0,36683000000,dnb asa,"9,200",0,financial services
catherine macgregor,france,39782000000.0,36848000000.0,36436000000,engie,"171,000",63768000,utilities
carsten knobel,germany,42232000000.0,44557000000.0,35831000000,henkel ag,"52,600",22113000,consumer defensive
andrea orcel,italy,33729000000.0,20837000000.0,35779000000,unicredit,"90,836",18591000,financial services
pekka lundmark,finland,22288000000.0,21769000000.0,35653000000,nokia corporation,"87,927",24467000,technology
stefan widing,sweden,25713000000.0,30542000000.0,35192000000,sandvik ab,"37,125",10406000,industries
frans muller,netherlands,27665000000.0,29466000000.0,35061000000,ahold delhaize,"232,000",83312000,consumer defensive
leonhard birnbaum,germany,24333000000.0,28779000000.0,34939000000,eon se,"78,126",77335000,utilities
kristian villumsen,denmark,26318000000.0,32457000000.0,34558000000,coloplast a/s,"12,568",2875000,healthcare
tobias martinez gimeno,spain,14069000000.0,29097000000.0,34194000000,cellnex telecom,"2,877",2437000,communication services
nico delvaux,sweden,28633000000.0,27207000000.0,33270000000,assa abloy ab publ,"48,000",9976000,industries
frans van houten,netherlands,44275000000.0,48973000000.0,33229999999,philips,"81,592",17151000,healthcare
philippe donnet,italy,32607000000.0,27258000000.0,33226000000,assicurazioni generali,"72,644",92763000,financial services
bhavesh v patel,netherlands,31312000000.0,30607000000.0,32482999999,lyondellbasell industries,"19,200",46173000,basic materials
,germany,,,2888000000,software aktiengesellschaft,,833000000,technology
jan jenisch,switzerland,21645000000.0,33813000000.0,32100000000,holcim ltd,"67,409",28525000,basic materials
helena helmersson,sweden,35101000000.0,38477000000.0,32080000000,h & m hennes & mauritz ab,"153,000",20892000,consumer cyclical
luis maroto,spain,35212000000.0,32656000000.0,31937000000,amadeus it group,"19,000",2942000,technology
lakshmi mittal,luxembourg,18120000000.0,24556000000.0,31726000000,arcelormittal,"167,743",76571000,basic materials
guillaume daniellot,switzerland,15499000000.0,18350000000.0,31426000000,straumann holding ag,"7,340",2148000,healthcare
hans dieter potsch,germany,23572000000.0,21034000000.0,31386000000,porsche automobil holding se,916,0,consumer cyclical
,france,29859000000.0,17460000000.0,31344000000,societe generale,"152,050",0,financial services
francisco miguel reynes massanet,spain,24667000000.0,22387000000.0,31139000000,naturgy energy group,"10,540",24398000,utilities
florent menegaux,france,21983000000.0,22792000000.0,31126000000,michelin,"117,500",26222000,consumer cyclical
benoit coquart,france,21989000000.0,23764000000.0,31083000000,legrand sa,"36,726",7707000,industries
dieter weisskopf,switzerland,21060000000.0,23241000000.0,31017000000,chocoladefabriken lindt & sprungli ag,"13,500",4874000,consumer defensive
johan torgeby,sweden,21828000000.0,22339000000.0,30552000000,skandinaviska enskilda banken ab publ,"15,500",0,financial services
theodor weimer,germany,29108000000.0,31104000000.0,30349000000,deutsche borse,"7,238",4899000,financial services
ken murphy,uk,32996000000.0,30989000000.0,30115000000,tesco,"367,321",72299000,consumer defensive
gerteric lindquist,sweden,10359000000.0,16710000000.0,29791000000,nibe industrier ab publ,"18,700",3237000,industries
christian mumenthaler,switzerland,32403000000.0,26019000000.0,29683000000,swiss re,"13,189",46001000,financial services
christian sewing,germany,16857000000.0,22724000000.0,29519000000,deutsche bank,"84,512",25306000,financial services
helena hedblom,sweden,15363000000.0,21320000000.0,29023000000,epiroc ab publ,"13,840",4163000,industries
urs schaeppi,switzerland,27457000000.0,27664000000.0,28912000000,swisscom ag,"19,062",11888000,communication services
carl hess,uk,25967000000.0,27148000000.0,28854000000,willis towers watson public company,"46,600",8998000,financial services
christian buhl,switzerland,20337000000.0,22682000000.0,28741000000,geberit ag,"11,908",3678000,industries
nancy mckinstry,netherlands,19591000000.0,22070000000.0,28489000000,wolters kluwer,"19,169",5258000,communication services
stephane richard,france,39294000000.0,31509000000.0,28197000000,orange sa,"142,150",46859000,communication services
henrik andersen,denmark,19452000000.0,46277000000.0,28082000000,vestas wind systea/s,"29,378",17177000,industries
thomas oetterli,switzerland,26586000000.0,29319000000.0,28054000000,schindler holding ag,"66,674",11944000,industries
martin carlesund,sweden,5793000000.0,21440000000.0,27955000000,evolution gaming group ab publ,"5,054",1177000,consumer cyclical
torbjorn magnusson,finland,24582000000.0,23379000000.0,27885000000,sampo oyj,"9,813",14823000,financial services
edmond scanlon,ireland,22023000000.0,28633000000.0,27278000000,kerry group,"26,000",8100000,consumer defensive
stephan sturm,germany,37793000000.0,30278000000.0,27032000000,fresenius se,"311,269",41347000,healthcare
peter jackson,ireland,20132000000.0,36058000000.0,26926000000,flutter entertainment,"14,802",7901000,consumer cyclical
dolf van den brink,netherlands,27795000000.0,26960000000.0,26890000000,heineken holding,"84,000",24179000,consumer defensive
markus krebber,germany,18740000000.0,28467000000.0,26492000000,rwe,"19,498",24519000,utilities
damian paul gammell,uk,23649000000.0,22085000000.0,26436000000,coca-cola europacific partners plc,"33,200",15167000,consumer defensive
michael o'leary,ireland,18407000000.0,25366000000.0,26286000000,ryanair holdings,"15,016",4799000,industries
markus rauramo,finland,22066000000.0,21309000000.0,26201000000,fortum oyj,"19,933",123860000,utilities
daniel julien,france,14376000000.0,20518000000.0,26036000000,teleperformance se,"383,233",7841000,industries
magdalena martullo-blocher,switzerland,15334000000.0,22332000000.0,25924000000,ems-chemie holding ag,"2,653",2339000,basic materials
antoine frerot,france,15152000000.0,13786000000.0,25903000000,veolia environnement,"171,450",28500000,industries
jose maria alvarez-pallete lopez,spain,37098000000.0,20749000000.0,25322000000,telefonica sa,"114,042",43283000,communication services
,ireland,14142000000.0,14254000000.0,25068000000,kingspan group,"15,500",7160000,industries
nigel wilson,uk,24020000000.0,21720000000.0,24974000000,legal & general group,"13,876",58239000,financial services
maurici lucena betriu,spain,28411000000.0,25974000000.0,24610000000,aena sme,"8,771",2554000,industries
cees 't hart,denmark,21859000000.0,23423000000.0,24428000000,carlsberg a/s,"40,010",9862000,consumer defensive
thomas gottstein,switzerland,33894000000.0,31600000000.0,24376000000,credit suisse group,"48,770",0,financial services
niklas oestberg,germany,14969000000.0,30812000000.0,24268000000,delivery hero se,"22,000",5853000,online food delivery
frankie ng,switzerland,20839000000.0,23990000000.0,24206000000,sgs sa,"94,000",6809000,industries
vicente reynal,ireland,14759000000.0,19028000000.0,24170000000,ingersoll-rand ireland,"15,900",5150000,industries
johan hjertonsson,sweden,10218000000.0,15444000000.0,24169000000,investment ab latour publ,,1950000,financial services
gonzalo gortazar rotaeche,spain,19263000000.0,15292000000.0,24065000000,caixabank,"36,597",0,financial services
,uk,24674000000.0,21512000000.0,24023000000,bae systems,"90,500",25553000,industries
philip jansen,uk,26305000000.0,17934000000.0,23734000000,bt group,"99,700",24558000,communication services
jan g j van de winkel,denmark,14474000000.0,26503000000.0,23695000000,genmab a/s,781,1255000,healthcare
,germany,23664000000.0,18937000000.0,23677000000,hannover ruck se,"3,073",28844000,financial services
alistair phillips-davies,uk,19795000000.0,21373000000.0,23668000000,sse plc,"12,489",10139000,utilities
,uk,10630000000.0,24444000000.0,23531000000,scottish mortgage investment trust,,"-2,986 million usd",financial services
dan carestio,ireland,12904000000.0,16172000000.0,23486000000,steris,"13,000",4584000,healthcare
jose d bogas galvez,spain,28364000000.0,28813000000.0,23401000000,endesa,"9,591",23031000,utilities
frank mastiaux,germany,15774000000.0,18471000000.0,23389000000,enbw energie baden-wurttemberg ag,"23,293",32137999,utilities
vincent warnery,germany,27097000000.0,26085000000.0,23055000000,beiersdorf,"20,465",8405000,consumer defensive
arnd kaldowski,switzerland,14554000000.0,16591000000.0,23019000000,sonova holding ag,"14,508",3492000,healthcare
jens henriksson,sweden,17388000000.0,19524000000.0,22817000000,swedbank ab publ,"17,373",0,financial services
magnus groth,sweden,23832000000.0,22900000000.0,22550000000,essity ab publ,"46,000",12796000,consumer defensive
steve cutler,ireland,9088000000.0,10290000000.0,22366000000,icon public company,"37,960",5480000,healthcare
timothy p walbert,ireland,6720000000.0,16145000000.0,22265000000,horizon therapeutics public company,"1,395",3226000,healthcare
amanda blanc,uk,21918000000.0,17469000000.0,22112000000,aviva,"31,700",43116000,financial services
carina akerstrom,sweden,22579000000.0,20173000000.0,22068000000,svenska handelsbanken ab publ,"22,000",0,financial services
george g weston,uk,26625000000.0,24510000000.0,22066000000,associated british foods,"128,000",18174000,consumer defensive
,germany,26749000000.0,29982000000.0,21978000000,continental ag,"236,386",33755000,consumer cyclical
pavel sergeevich grachev,russia,22766000000.0,27861000000.0,21976000000,pjsc polyus,"20,000",3287000,basic materials
sigve brekke,norway,25459000000.0,23666000000.0,21969000000,telenor asa,"18,000",12347000,communication services
,uk,12967000000.0,15440000000.0,21946000000,segro,355,715000000,real estate
ignacio madridejos fernandez,spain,22219000000.0,20174000000.0,21934000000,ferrovial,"18,515",7469000,industries
ester baiget,denmark,13801000000.0,15999000000.0,21906000000,novozymes a/s,"6,527",2213000,healthcare
scott w wine,uk,15322000000.0,17351000000.0,21872000000,cnh industrial,"64,016",19474000,industries
gilles g martin,luxembourg,10135000000.0,15941000000.0,21550000000,eurofins scientific se,"55,000",7402000,healthcare
,spain,10161000000.0,24462000000.0,21292000000,edp renovaveis,"1,566",1936000,utilities
stefan bomhard,uk,23870000000.0,19871000000.0,21145000000,imperial brands,"30,300",42923000,consumer defensive
jussi pesonen,finland,18589000000.0,,20972000000,upm-kymmene oyj,"17,512",10815000,basic materials
paolo bertoluzzo,italy,9200000000.0,12492000000.0,20896000000,nexi,"1,996",3084000,technology
thierry vanlancker,netherlands,22070000000.0,20392000000.0,20741000000,akzo nobel,"32,200",10565000,basic materials
jean-christophe tellier,belgium,15043000000.0,19456000000.0,20612000000,ucb sa,"8,006",6366000,healthcare
oliver hughes,russia,4853000000.0,4619000000.0,20605000000,tcs group holding,"528,748",0,financial services
joao manuel brito martins,portugal,15771000000.0,24766000000.0,20438000000,edp - energias de portugal,"12,236",16511000,utilities
bill winters,uk,30742000000.0,20108000000.0,20378000000,standard chartered,"84,740",0,financial services
john elkann,netherlands,18068000000.0,18676000000.0,20374000000,exor,"268,979",33607000,financial services
alfred stern,austria,18424000000.0,13137000000.0,20210000000,omv group,"25,391",39182000,energy
daniel benes,czech republic,12049000000.0,12806000000.0,20163000000,cez a s,"27,200",9595000,utilities
bernhard spalt,austria,15609000000.0,12317000000.0,19926000000,erste group bank ag,"44,596",7597000,financial services
patrick frost,switzerland,15924000000.0,14950000000.0,19922000000,swiss life holding ag,"9,823",22872000,financial services
heinz-juergen bertram,germany,13640000000.0,17876000000.0,19804000000,symrise ag,"10,531",4215000,basic materials
benjamin loh,netherlands,5604000000.0,10620000000.0,19787000000,asm international nv,"2,583",1905000,technology
arkady volozh,russia,14488000000.0,24519000000.0,19592000000,yandex,"11,864",3206000,communication services
marco alvera,italy,17350000000.0,18317000000.0,19225000000,snam,"3,388",3284000,utilities
david schneider,germany,12794000000.0,27576000000.0,19103000000,zalando se,"14,194",11410000,consumer cyclical
rice powell,germany,22203000000.0,24319000000.0,18809000000,fresenius medical care ag & co kgaa,"125,364",19416000,healthcare
remo ruffini,italy,11469000000.0,15434000000.0,18758000000,moncler,"4,561",2255000,consumer cyclical
patrice caine,france,22328000000.0,19414000000.0,18756000000,thales,"80,702",17844000,industries
fabien simon,netherlands,,,18578000000,jde peet's nv,"19,000",7715000,consumer defensive
steve foots,uk,8745000000.0,12542000000.0,18577000000,croda international,"4,000",2473000,basic materials
christian bruch,germany,,26230000000.0,18494000000,siemens energy,"91,000",31387000,engineering products
vladimir bogdanov,russia,34556000000.0,17600000000.0,18439000000,surgutneftegas,"116,000",17669000,energy
mark read,uk,17603000000.0,13405000000.0,18269000000,wpp plc,"100,000",16757000,communication services
vivek badrinath,germany,,,18162000000,vantage towers ag,327,1022999,industries
josu jon imaz,spain,23062000000.0,15345000000.0,18162000000,repsol,"23,739",54819000,energy
ivan arriagada,uk,11854000000.0,19419000000.0,18128000000,antofagasta,"23,248",7470000,basic materials
aleksanshevelev,russia,12842000000.0,14926000000.0,17528000000,pao severstal,"52,200",6870000,basic materials
bjorn gulden,germany,11312000000.0,16982000000.0,17486000000,puma se,"14,374",7499000,consumer cyclical
markus weber,germany,11391000000.0,11861000000.0,17301000000,carl zeiss meditec ag,"3,000",1814000,healthcare
arthur sadoun,france,10824000000.0,12182000000.0,17224000000,publicis groupe,"79,051",12935000,communication services
david knibbe,netherlands,12993000000.0,14075000000.0,17104000000,nn group,"15,417",25930000,financial services
matteo del fante,italy,14853000000.0,13180000000.0,17079000000,poste italiane spa,"118,523",31629000,industries
stephane dedeyan,france,13796000000.0,11012000000.0,17021000000,cnp assurances sa,"5,353",48298000,financial services
grigory vitalevich fedorishin,russia,14074000000.0,17079000000.0,16921000000,novolipetsk steel,"52,800",16196000,basic materials
klaus-dieter maubach,germany,12178000000.0,12576000000.0,16886000000,uniper se,"11,644",180700000,utilities
rolv erik ryssdal,norway,8271000000.0,11346000000.0,16683000000,adevinta asa,"4,700",1139000,communication services
ian gallienne,belgium,16524000000.0,15336000000.0,16677000000,groupe bruxelles lambert sa,"59,000",8495000,financial services
aengus kelly,ireland,8202999999.0,5914000000.0,16582999999,aercap holdings,376,4587000,industries
valerie baudson,france,15945000000.0,16379999999.0,16574000000,amundi,"4,700",3531000,financial services
jack truong,ireland,13897000000.0,16976000000.0,16504999999,james hardie industries,"4,861",3613000,basic materials
tom erixon,sweden,11115000000.0,11482000000.0,16501000000,alfa laval ab publ,"17,883",4296000,industries
hilde merete aasheim,norway,7527000000.0,9466000000.0,16447000000,norsk hyasa,"34,240",15410000,basic materials
morten hubbe,denmark,8899000000.0,9516000000.0,16442000000,tryg a/s,"4,000",3691000,financial services
gilles grapinet,france,13156000000.0,26854000000.0,16384000000,worldline,"20,000",3688000,technology
tim hauwermeiren,netherlands,6933000000.0,14022000000.0,16128000000,argenx se,336,497000000,healthcare
jan michael mrosik,germany,16828000000.0,21805000000.0,16125000000,knorr-bremse,"29,000",6703000,consumer cyclical
,france,13429000000.0,13946000000.0,16110000000,carrefour sa,"322,164",81863000,consumer defensive
,france,13104000000.0,12070000000.0,16011000000,bollore,"79,207",19765000,communication services
harold boel,belgium,7317000000.0,11377000000.0,16000000000,sofina societe anonyme,,2650000,financial services
tim steiner,uk,11894000000.0,23415000000.0,15933000000,ocado group,"17,121",3270000,consumer defensive
allison kirkby,sweden,18383000000.0,16799000000.0,15857000000,telia company ab publ,"20,700",9276000,communication services
roland diggelmann,uk,21055000000.0,18518000000.0,15688000000,smith & nephew,"17,500",5212000,healthcare
jerre stead,uk,5218000000.0,18003000000.0,15685000000,clarivate plc,"8,300",1876000,technology
stefano antonio donnarumma,italy,13404000000.0,15286000000.0,15647000000,terna spa,"4,735",2462000,utilities
