name,code,rank,ceo,country,sector,industry,headquarters,employees,founded,marketcap,revenue,net_income,link
canon inc,7751,694,fujio mitarai,japan,technology,computer hardware,"tokyo, japan","184,034",10 august 1937,26380000000,3.59 trillion us$32.67 billion (2019),125.11 billion us$1.14 billion (2019),"https://global.canon, https://en.wikipedia.org/wiki/canon inc."
deutsche bank ag,dbk,693,christian sewing,germany,financials,banks,"frankfurt am main, germany","82,969",10 march 1869,26380000000,25.4 billion (2021),2.5 billion (2021),"https://www.db.com, https://www.facebook.com/deutschebank, https://twitter.com/deutschebank, https://www.linkedin.com/company/deutsche-bank/, https://en.wikipedia.org/wiki/deutsche bank"
intact financial corporation,ifc,692,charles j g brindamour bsc,canada,financials,insuranceproperty & casualty,"toronto, on, canada","26,000",1809,26400000000,"ca$12,143 million (2020)","ca$1,082 million (2020)","https://www.intactfc.com, https://en.wikipedia.org/wiki/intact financial"
dte energy company,dte,691,gerard m anderson,united states,utilities,utilitiesregulated electric,"detroit, mi, united states","10,300",,26410000000,12177000000,1368000000,"https://newlook.dteenergy.com, https://en.wikipedia.org/wiki/dte energy"
southwest airlines co,luv,690,robert e jordan,united states,industrials,airlines,"dallas, tx, united states","55,100","march 15, 1967",26520000000,21965000000,2465000000,"https://www.southwest.com, https://en.wikipedia.org/wiki/southwest airlines"
thales sa,ho,689,patrice caine,france,industrials,aerospace & defense,"courbevoie, france","81,098",,26550000000,,,https://www.thalesgroup.com/en
unity software inc,u,688,john s riccitiello,united states,technology,softwareapplication,"san francisco, ca, united states","5,245",2004,26560000000,1110000000,us$532.607 million (fiscal year ended 31 december 2020),"https://unity.com, https://en.wikipedia.org/wiki/unity technologies"
kansas city southern,ksu,687,patrick j ottensmeyer,united states,industrials,railroads,"kansas city, mo, united states","6,522",1887,26590000000,2,,"https://www.kcsouthern.com, https://www.linkedin.com/company/kansas-city-southern-railway, https://en.wikipedia.org/wiki/kansas city southern  company "
pg&e corporation,pcg,686,patricia kessler poppe,united states,utilities,utilitiesregulated electric,"san francisco, ca, united states","26,000",1905,26660000000,18469000000,411000000,"https://www.pgecorp.com, https://www.facebook.com/pacificgasandelectric, https://twitter.com/pge4me, https://www.linkedin.com/company/3895, https://en.wikipedia.org/wiki/pacific gas and electric company"
cheniere energy partners lp,cqp,685,jack a fusco,united states,energy,oil & gas midstream,"houston, tx, united states",,,26680000000,,,https://cqpir.cheniere.com
delta electronics inc,2308,750,ping cheng,taiwan,technology,electronic components,"taipei, taiwan",,,24050000000,,,https://www.deltaww.com
epiroc ab,3ad2,749,helena hedblom msc,sweden,industrials,farm & heavy construction machinery,"nacka, sweden","15,529",,24080000000,,,https://www.epirocgroup.com
vulcan materials company,vmc,748,james thomas hill,united states,basic materials,building materials,"birmingham, al, united states","11,912",1909 as birmingham slag company,24080000000,4929000000,,"https://www.vulcanmaterials.com, https://www.linkedin.com/company/vulcan-materials-company, https://en.wikipedia.org/wiki/vulcan materials"
bt group plc,bt.a,747,philip eric rene jansen,united kingdom,communication services,telecom services,"london, united kingdom","99,700",18 june 1846,24090000000,21.370 billion (2021),1.472 billion (2021),"https://www.bt.com, https://en.wikipedia.org/wiki/bt group"
fujifilm holdings corp,4901,746,teiichi goto,japan,industrials,business equipment & supplies,"tokyo, japan","73,275",,24120000000,,,https://holdings.fujifilm.com
fresenius se & co kgaa,fre,745,stephan sturm,germany,healthcare,medical care facilities,"bad homburg vor der hohe, germany","316,078",,24120000000,,,https://www.fresenius.com
mid-america apartment communities inc,maa,744,h eric bolton jr,united states,real estate,reitresidential,"germantown, tn, united states","2,429",1977,24180000000,1677000000,254000000,"https://www.maac.com, https://en.wikipedia.org/wiki/mid-america apartment communities"
slack technologies inc,work,743,phanich sodsee,united states,technology,softwareapplication,"san francisco, ca, united states","1,664","vancouver, british columbia, canada 2009",24300000000,401000000,$141 million (2019),"https://www.workpoint.co.th, https://en.wikipedia.org/wiki/slack technologies"
northern trust corporation,ntrs,742,michael g o'grady,united states,financials,asset management,"chicago, il, united states","21,100",1889,24420000000,5960000000,1560000000,"https://www.northerntrust.com, https://en.wikipedia.org/wiki/northern trust"
xpeng inc,xpev,741,xiaopeng he,china,consumer discretionary,auto manufacturers,"guangzhou, china","5,084",2014,24440000000,,,"https://www.xiaopeng.com, https://en.wikipedia.org/wiki/xpeng"
aena sme sa,aena,740,maurici lucena betriu,spain,industrials,airports & air services,"madrid, spain","8,162",,24450000000,,,https://www.aena.es
evergreen marine corp,2603,739,,taiwan,industrials,marine shipping,"taipei, taiwan",,,24490000000,,,https://www.evergreen-marine.com
woodside petroleum ltd,wpl,738,marguerite eileen o'neill bsc msc,australia,energy,oil & gas e&p,"perth, wa, australia","3,684",26 july 1954,24600000000,3600000000,($4.0 billion) (2020),"https://www.woodside.com.au, https://www.facebook.com/woodsideenergy/, https://twitter.com/woodsideenergy, https://www.linkedin.com/company/woodside-energy/, https://en.wikipedia.org/wiki/woodside petroleum"
live nation entertainment inc,lyv,737,michael rapino,united states,communication services,entertainment,"beverly hills, ca, united states","10,200","january 25, 2010",24610000000,1861000000,us$1.828 billion (2020),"https://www.livenationentertainment.com, https://www.facebook.com/livenation, https://twitter.com/livenation, https://www.linkedin.com/company/live-nation/, https://en.wikipedia.org/wiki/live nation entertainment"
china minsheng banking corp ltd,600016,736,,china,financials,banks,"beijing, china","59,262",,24650000000,,,https://www.cmbc.com.cn
ameren corporation,aee,735,martin j lyons jr,united states,utilities,utilitiesregulated electric,"st. louis, mo, united states","9,116",1997,24790000000,5794000000,871000000,"https://www.ameren.com, https://www.facebook.com/amerencorp/, https://twitter.com/amerencorp, https://www.linkedin.com/company/ameren, https://en.wikipedia.org/wiki/ameren"
east japan railway company,9020,800,yuji fukasawa,japan,industrials,railroads,"tokyo, japan","71,973",,22780000000,,,https://www.jreast.co.jp
heineken holding nv,heio,799,,netherlands,consumer staples,beveragesbrewers,"amsterdam, netherlands","82,257",,22780000000,,,https://www.heinekenholding.com
sabic agri-nutrients company,2020,798,abdulrahman ahmed shamsaddin,saudi arabia,basic materials,agricultural inputs,"jubail, saudi arabia",,,22780000000,,,https://www.safco.com.sa
genmab a/s,gmab,797,jan gj van de winkel,denmark,healthcare,biotechnology,"copenhagen, denmark","1,212",,22830000000,,,https://www.genmab.com
hengli petrochemical coltd,600346,796,,china,consumer discretionary,textile manufacturing,"dalian, china","29,522",,22860000000,,,https://www.henglipc.com/henglishihua.html
ppl corporation,ppl,795,vincent sorgi,united states,utilities,utilitiesregulated electric,"allentown, pa, united states","5,607","june 4, 1920",22870000000,7600000000,1469000000,"https://www.pplweb.com, https://en.wikipedia.org/wiki/ppl corp."
dover corporation,dov,794,richard joseph tobin,united states,industrials,specialty industrial machinery,"downers grove, il, united states","25,000",1955,22940000000,us$6.7 billion (2020)  us$7.1 billion (2019),us$683.4 million (2020)  us$677.9 million (2019),"https://www.dovercorporation.com, https://en.wikipedia.org/wiki/dover corporation"
vf corporation,vfc,793,steven e rendle,united states,consumer discretionary,apparel manufacturing,"greenwood village, co, united states","27,200",october 1899,22960000000,13800000000,1010000000,"https://www.vfc.com, https://www.facebook.com/vf-corporation-48767888006/, https://twitter.com/vfcorp, https://www.linkedin.com/company/vf-corporation, https://en.wikipedia.org/wiki/vf corporation"
olympus corp,7733,792,yasuo takeuchi,japan,healthcare,medical instruments & supplies,"tokyo, japan","31,653",,23000000000,,,https://www.olympus-global.com
royalty pharma plc,rprx,791,pablo gerardo legorreta,united states,healthcare,biotechnology,"new york, ny, united states",,,23040000000,,,"https://www.royaltypharma.com, https://www.linkedin.com/company/royalty-pharma/, https://en.wikipedia.org/wiki/royalty pharma"
invitation homes inc,invh,790,dallas b tanner,united states,real estate,reitresidential,"dallas, tx, united states","1,240",2012,23090000000,1822000000,195000000,"https://www.invitationhomes.com, https://www.facebook.com/invitationhomesweb, https://twitter.com/invitationhomes, https://www.linkedin.com/company/invitation-homes, https://en.wikipedia.org/wiki/invitation homes"
china international capital corp ltd,601995,789,zhaohui huang,china,financials,capital markets,"beijing, china","9,372",,23130000000,,,https://www.cicc.com
terumo corp,4543,788,shinjiro sato,japan,healthcare,medical instruments & supplies,"tokyo, japan","26,482",,23160000000,,,https://www.terumo.co.jp
societe generale sa,gle,787,frederic oudea,france,financials,banks,"paris, france","124,089",,23180000000,,,https://www.societegenerale.com
wens foodstuff group co ltd,300498,786,,china,consumer staples,farm products,"yunfu, china","52,809",,23200000000,,,https://www.wens.com.cn
fox corporation,foxa,785,lachlan keith murdoch,united states,communication services,broadcasting,"new york, ny, united states","9,000","january 1, 2019",23260000000,12300000000,999000000,"https://www.foxcorporation.com, https://en.wikipedia.org/wiki/fox corporation"
power corporation of canada,pow,850,robert jeffrey orr,canada,financials,insurancelife,"montraal, qc, canada","30,000",1925,21480000000,c$64.61 billion (2020),c$1.99 billion (2020),"https://www.powercorporation.com, https://www.linkedin.com/company/power-corporation-of-canada, https://en.wikipedia.org/wiki/power corporation of canada"
shimano inc,7309,849,yozo shimano,japan,consumer discretionary,leisure,"sakai, japan","12,244",,21510000000,,,https://www.shimano.com
contura energy inc,ctra,848,thomas e jorden,united states,energy,thermal coal,"bristol, tn, united states",936,"july 26, 2016",21570000000,,,"https://www.coterra.com, https://www.twitter.com/contura energy, https://www.linkedin.com/company/contura-energy, https://en.wikipedia.org/wiki/contura energy"
b3 sa - brasil bolsa balcao,b3sa3,847,gilson finkelsztain,brazil,financials,financial data & stock exchanges,"sao paulo, sp, brazil",,,21580000000,,,https://www.b3.com.br
teledyne technologies incorporated,tdy,846,robert mehrabian,united states,technology,scientific & technical instruments,"thousand oaks, ca, united states","14,500",1960,21650000000,3164000000,402300000,"https://www.teledyne.com, https://en.wikipedia.org/wiki/teledyne technologies"
keycorp,key,845,christopher marrott gorman,united states,financials,banks,"cleveland, oh, united states","17,654",1825,21710000000,6400000000,1708000000,"https://www.key.com, https://twitter.com/keybank/, https://www.linkedin.com/company/keycorp/, https://en.wikipedia.org/wiki/keybank"
m&t bank corporation,mtb,844,rene f jones cpa,united states,financials,banks,"buffalo, ny, united states","17,115","august 29, 1856",21740000000,6120000000,1776000000,"https://www3.mtb.com, https://en.wikipedia.org/wiki/m%26t bank"
dai-ichi life holdings inc,8750,843,,japan,financials,insurancelife,"tokyo, japan","64,823",,21760000000,,,https://www.dai-ichi-life-hd.com
ulta beauty inc,ulta,842,david c kimbell,united states,consumer discretionary,specialty retail,"bolingbrook, il, united states","16,000",1990,21820000000,4855000000,409800000,"https://www.ulta.com, https://twitter.com/ultabeauty , https://www.linkedin.com/company/ulta/, https://en.wikipedia.org/wiki/ulta beauty"
zebra technologies corporation,zbra,841,anders gustafsson,united states,technology,communication equipment,"lincolnshire, il, united states","9,800",1969,21870000000,4448000000,504000000,"https://www.zebra.com, https://www.facebook.com/zebratechnologiesglobal, https://twitter.com/zebratechnology, https://www.linkedin.com/company/167024, https://en.wikipedia.org/wiki/zebra technologies"
monolithic power systeinc,mpwr,840,michael r hsing,united states,technology,semiconductors,"kirkland, wa, united states","2,773",1997,21870000000,1210000000,242000000,"https://www.monolithicpower.com, https://www.facebook.com/monolithicpower, https://www.twitter.com/monolithicpower, https://www.linkedin.com/company/monolithic-power-systems, https://en.wikipedia.org/wiki/monolithic power systems"
restaurant brands international limited partnership,qsp.un,839,,canada,consumer discretionary,restaurants,"toronto, on, canada","5,700",,21890000000,,,https://www.rbi.com
duke realty corporation,dre,838,james b connor,united states,real estate,reitindustrial,"indianapolis, in, united states",340,1972,21930000000,,,"https://www.dukerealty.com, https://www.facebook.com/dukerealtycorporation, https://twitter.com/dukerealty, https://www.linkedin.com/company/duke-realty-corporation, https://en.wikipedia.org/wiki/duke realty"
huntington bancshares incorporated,hban,837,stephen d steinour,united states,financials,banks,"columbus, oh, united states","18,442",1866,21930000000,4815000000,817000000,"https://www.huntington.com, https://en.wikipedia.org/wiki/huntington bancshares"
cnh industrial nv,cnhi,836,scott wellington wine,united kingdom,industrials,farm & heavy construction machinery,"london, united kingdom","71,895",2012,21930000000,25.03 billion (2019),760 million (2019),"https://www.cnhindustrial.com, https://en.wikipedia.org/wiki/cnh industrial"
nibe industrier ab,njb,835,gerteric lindquist,sweden,industrials,building products & equipment,"markaryd, sweden","20,400",,21930000000,,,https://www.nibe.com
telefonica brasil sa,viv,900,christian mauad gebara,brazil,communication services,telecom services,"sao paulo, sp, brazil","34,000",1998,20190000000,11100000000,,"https://www.telefonica.com.br, https://en.wikipedia.org/wiki/telef%c3%b4nica brasil"
mega financial holding co ltd,2886,899,,taiwan,financials,banks,"taipei, taiwan","9,594",,20210000000,,,https://www.megaholdings.com.tw
mgm resorts international,mgm,898,william joseph hornbuckle iv,united states,consumer discretionary,resorts & casinos,"las vegas, nv, united states","52,000",1986,20220000000,12899000000,,"https://www.mgmresorts.com, https://www.facebook.com/mgmresorts, https://www.linkedin.com/company/1075291, https://en.wikipedia.org/wiki/mgm resorts international"
nomura research institute ltd,4307,897,shingo konomoto,japan,technology,information technology services,"tokyo, japan","16,196",,20260000000,,,https://www.nri.com
brown & brown inc,bro,896,j powell brown cpcu cpcu,united states,financials,insurance brokers,"daytona beach, fl, united states","12,023",1939,20270000000,2613000000,480400000,"https://www.bbinsurance.com, https://www.facebook.com/brownbrowninsurance, https://twitter.com/b binsurance, https://www.linkedin.com/company/brown-&-brown/, https://en.wikipedia.org/wiki/brown %26 brown"
markel corporation,mkl,895,thomas sinnickson gayner,united states,financials,insuranceproperty & casualty,"glen allen, va, united states","20,300",1930,20300000000,"us$12.846 billion (fiscal year ended december 31, 2021)","us$2.447 billion (fiscal year ended december 31, 2021)","https://www.markel.com, https://en.wikipedia.org/wiki/markel corporation"
carvana co,cvna,894,ernest c garcia iii,united states,consumer discretionary,internet retail,"tempe, az, united states","21,000",2012,20330000000,5587000000,$462 million (2020),"https://www.carvana.com, https://www.facebook.com/carvana.buycarsonline, https://twitter.com/carvana, https://www.linkedin.com/company/carvana/, https://en.wikipedia.org/wiki/carvana"
nippon paint holdings co ltd,4612,893,,japan,basic materials,specialty chemicals,"osaka, japan","27,318",,20380000000,,,https://www.nipponpaint-holdings.com
guotai junan securities co ltd,601211,892,,china,financials,capital markets,"shanghai, china","15,198",,20390000000,,,https://www.gtja.com
mitsubishi estate co ltd,8802,891,junichi yoshida,japan,real estate,real estatediversified,"tokyo, japan","9,982",,20390000000,,,https://www.mec.co.jp
investment ab latour,lato.b,890,johan hjertonsson mba,sweden,financials,asset management,"gothenburg, sweden","8,001",,20390000000,,,https://www.latour.se/en/
alinma bank,1150,889,,saudi arabia,financials,banks,"riyadh, saudi arabia","3,280",,20410000000,,,https://www.alinma.com
synchrony financial,syf,888,brian d doubles,united states,financials,credit services,"stamford, ct, united states","18,000","september 12, 2003",20430000000,14800000000,4210000000,"https://www.synchrony.com, https://en.wikipedia.org/wiki/synchrony financial"
boston properties inc,bxp,887,owen david thomas,united states,real estate,reitoffice,"boston, ma, united states",743,1970,20540000000,2960000000,521000000,"https://www.bostonproperties.com, https://twitter.com/bxpboston, https://www.linkedin.com/company/boston-properties, https://en.wikipedia.org/wiki/boston properties"
sojitz corp,2768,886,masayoshi fujimoto,japan,industrials,conglomerates,"tokyo, japan","19,463",,20550000000,,,https://www.sojitz.com/jp/
flutter entertainment plc,fltr,885,jeremy peter jackson,ireland,consumer discretionary,gambling,"dublin, ireland","16,813",2 february 2016,20580000000,"6,036.2 million (2021)",(411.9) million (2021),"https://www.flutter.com, https://twitter.com/ppbetfair, https://www.linkedin.com/company/flutter-entertainment-plc/, https://en.wikipedia.org/wiki/flutter entertainment"
croda international plc,crda,950,,united kingdom,basic materials,specialty chemicals,"goole, united kingdom","4,000",1925,19220000000,"1,889.6 million (2021)",322.8 million (2021),"https://www.croda.com, https://www.twitter.com/crodapceurope, https://www.linkedin.com/company/croda, https://en.wikipedia.org/wiki/croda international"
cgn power co ltd,003816,949,,china,utilities,utilitiesindependent power producers,"shenzhen, china","18,248",,19250000000,,,https://www.cgnp.com.cn
snam spa,srg,948,marco alvera,italy,utilities,utilitiesregulated gas,"san donato milanese, mi, italy","3,388",,19270000000,,,https://www.snam.it
magna international inc,mg,947,seetarama swamy kotagiri,canada,consumer discretionary,auto parts,"aurora, on, canada","158,000",1957,19360000000,40820000000,2290000000,"https://www.magna.com, https://www.facebook.com/magnainternational, https://twitter.com/magnaint, https://www.linkedin.com/company/magna-international, https://en.wikipedia.org/wiki/magna international"
kb financial group inc,105560,946,jong-kyoo yoon phd,south korea,financials,banks,"seoul, south korea","25,428","september 29, 2008",19390000000,26500000000,,"https://www.kbfg.com, https://en.wikipedia.org/wiki/kb financial group inc"
svenska handelsbanken ab,shb.a,945,carl cederschiold,sweden,financials,banks,"stockholm, sweden","10,793",,19420000000,,,https://www.handelsbanken.se
fresenius medical care ag & co kgaa,fme,944,robert maurice powell jr,germany,healthcare,medical care facilities,"bad homburg, germany","122,909",,19420000000,,,"https://www.freseniusmedicalcare.com, https://www.facebook.com/pg/freseniusmedicalcare.corporate/, https://twitter.com/fmc ag, https://www.linkedin.com/company/freseniusmedicalcare"
edp - energias de portugal sa,edp,943,miguel stilwell de andrade,portugal,utilities,utilitiesdiversified,"lisbon, portugal","12,236",,19430000000,,,https://www.edp.com
ferrovial sa,fer,942,ignacio madridejos fernandez,spain,industrials,infrastructure operations,"madrid, spain","18,680",,19440000000,,,https://www.ferrovial.com
molina healthcare inc,moh,941,joseph michael zubretsky,united states,healthcare,healthcare plans,"long beach, ca, united states","14,000",1980,19460000000,19423000000,673000000,"https://www.molinahealthcare.com, https://www.facebook.com/molinahealth, https://twitter.com/molinahealth, https://www.linkedin.com/company/molina-healthcare, https://en.wikipedia.org/wiki/molina healthcare"
avantor inc,avtr,940,michael stubblefield,united states,basic materials,specialty chemicals,"radnor, pa, united states","13,500",1904,19480000000,,,"https://www.avantorsciences.com, https://www.facebook.com/avantorinc/, https://twitter.com/avantor news, https://www.linkedin.com/company/avantorinc/, https://en.wikipedia.org/wiki/avantor"
shenzhou international group holdings ltd,2313,939,guanlin huang,hong kong,consumer discretionary,textile manufacturing,"kowloon, hong kong","94,400",,19500000000,,,https://www.shenzhouintl.com
jbs sa,jbss3,938,gilberto tomazoni,brazil,consumer staples,packaged foods,"sao paulo, sp, brazil","250,000",,19530000000,,,https://www.jbs.com.br
transunion,tru,937,christopher a cartwright,united states,industrials,consulting services,"chicago, il, united states","10,200","february 8, 1968",19530000000,2656000000,346900000,"https://www.transunion.com, https://www.facebook.com/transunion.crb.946, https://twitter.com/transunion, https://www.linkedin.com/company/transunion/, https://en.wikipedia.org/wiki/transunion"
arch capital group ltd,acgl,936,marc grandisson,bermuda,financials,insurancediversified,"pembroke, bermuda","5,200",1995,19540000000,6980000000,,"https://www.archgroup.com, https://en.wikipedia.org/wiki/arch capital group"
marathon oil corporation,mro,935,lee m tillman,united states,energy,oil & gas e&p,"houston, tx, united states","1,531",1887,19540000000,3086000000,-$1.451 billion (2020),"https://www.marathonoil.com, https://twitter.com/marathonoil, https://www.linkedin.com/company/marathon-oil-corporation, https://en.wikipedia.org/wiki/marathon oil"
avis budget group inc,car,"1,000",joseph a ferraro,united states,industrials,rental & leasing services,"parsippany, nj, united states","16,000",2006,18120000000,9172000000,302000000,"https://www.avisbudgetgroup.com, https://www.facebook.com/avisbudgetgroupcareers, https://twitter.com/goavisbudget, https://www.linkedin.com/company/avis-budget-group, https://en.wikipedia.org/wiki/avis budget group"
veolia environnement sa,vie,999,antoine frarot,france,industrials,waste management,"aubervilliers, france","171,450",,18140000000,,,https://www.veolia.com/fr
cez as,cez,998,engineer daniel benea,czechia,utilities,utilitiesrenewable,"prague, czechia","28,000",,18160000000,,,https://www.cez.cz
yum china holdings inc,yumc,997,joey wat,china,consumer discretionary,restaurants,"shanghai, china","147,000","november 1, 2016",18180000000,8414999999,708000000,"https://www.yumchina.com, https://www.facebook.com/yumbrands/, https://twitter.com/yumbrands, https://en.wikipedia.org/wiki/yum china"
restaurant brands international inc,qsr,996,,canada,consumer discretionary,restaurants,"toronto, on, canada","5,700","december 15, 2014",18190000000,4970000000,486000000,"https://www.rbi.com, https://en.wikipedia.org/wiki/restaurant brands international"
capitec bank holdings ltd,cpi,995,gerhardus metselaar fourie bcom mba bcomm hons mba,south africa,financials,banks,"stellenbosch, south africa","14,789",,18210000000,,,https://www.capitecbank.co.za
asahi group holdings ltd,2502,994,atsushi katsuki,japan,consumer staples,beveragesbrewers,"tokyo, japan","30,020",,18210000000,,,https://www.asahigroup-holdings.com
haitong securities co ltd,600837,993,,china,financials,capital markets,"shanghai, china","11,282",,18230000000,,,https://www.htsec.com
catalent inc,ctlt,992,john r chiminski,united states,healthcare,drug manufacturersspecialty & generic,"somerset, nj, united states","17,300",2007,18240000000,"us$3.998 billion (fiscal year ended june 30, 2021)","us$0.585 billion (fiscal year ended june 30, 2021)","https://www.catalent.com, https://www.facebook.com/catalentpharmasolutions, https://twitter.com/catalentpharma, https://www.linkedin.com/company/162912, https://en.wikipedia.org/wiki/catalent"
quanta services inc,pwr,991,earl c austin jr,united states,industrials,engineering & construction,"houston, tx, united states","43,700",1997,18250000000,9466000000,,"https://www.quantaservices.com, https://www.facebook.com/quantaservicesir, https://twitter.com/quantaservices, https://www.linkedin.com/company/quanta-services, https://en.wikipedia.org/wiki/quanta services"
ubiquiti inc,ui,990,robert j pera,united states,technology,communication equipment,"new york, ny, united states","1,223",october 2003,18250000000,1016000000,196290000,"https://www.ui.com, https://www.facebook.com/ubiquiti, https://twitter.com/ubiquiti, https://en.wikipedia.org/wiki/ubiquiti"
shionogi & co ltd,4507,989,isao teshirogi phd,japan,healthcare,drug manufacturersspecialty & generic,"osaka, japan","5,485",,18270000000,,,https://www.shionogi.com
link real estate investment trust,0823,988,kwok lung hongchoy,hong kong,real estate,reitretail,"kwun tong, hong kong","1,100",,18270000000,,,https://www.linkreit.com
aeon co ltd,8267,987,,japan,consumer discretionary,department stores,"chiba, japan","155,578",,18320000000,,,https://www.aeon.info
alnylam pharmaceuticals inc,alny,986,yvonne l greenstreet mba mba mbchb,united states,healthcare,biotechnology,"cambridge, ma, united states","1,665",2002,18330000000,"us $219.75 million (2019)
 us $74.91 million (2018)",,"https://www.alnylam.com, https://en.wikipedia.org/wiki/alnylam pharmaceuticals"
china merchants securities co ltd,600999,985,,china,financials,capital markets,"shenzhen, china","10,169",,18350000000,,,https://www.cmschina.com
take-two interactive software inc,ttwo,984,strauss h zelnick esq,united states,communication services,electronic gaming & multimedia,"new york, ny, united states","6,495","september 30, 1993",18350000000,3372000000,588886000,"https://www.take2games.com, https://www.facebook.com/take2game, https://twitter.com/take2games, https://www.linkedin.com/company/10205, https://en.wikipedia.org/wiki/take-two interactive"
vodacom group ltd,vod,983,mohamed shameel aziz joosub,south africa,communication services,telecom services,"midrand, south africa","7,642",,18410000000,,,https://www.vodacom.com
genuine parts company,gpc,982,paul d donahue,united states,consumer discretionary,specialty retail,"atlanta, ga, united states","52,000",1925,18410000000,,,"https://www.genpt.com, https://en.wikipedia.org/wiki/genuine parts"
gf securities co ltd,000776,981,,china,financials,capital markets,"guangzhou, china","12,307",,18440000000,,,https://www.gf.com.cn
heico corporation,hei,980,laurans a mendelson,united states,industrials,aerospace & defense,"hollywood, fl, united states","5,600",1957 as heinicke instruments,18490000000,,327900000,"https://www.heico.com, https://www.linkedin.com/company/heico-aerospace, https://en.wikipedia.org/wiki/heico"
sands china ltd,1928,979,robert glen goldstein,macao,consumer discretionary,resorts & casinos,"taipa, macao","25,751",,18520000000,,,https://www.sandschina.com
huaneng power international inc,600011,978,,china,utilities,utilitiesindependent power producers,"beijing, china","57,513",30 june 1994 in beijing,18570000000,"113,814,236,000 renminbi (2016)",cn001.580 billion (2017),"https://www.hpi.com.cn/pages/default.aspx, https://www.linkedin.com/company/huaneng-power-international-inc-, https://en.wikipedia.org/wiki/huaneng power international"
south32 limited,s32,977,graham kerr bbus fcpa,australia,basic materials,other industrial metals & mining,"perth, wa, australia","13,576",,18670000000,,,https://www.south32.net
jd health international inc,8zn,976,enlin jin,china,healthcare,medical care facilities,"beijing, china","2,576",,18690000000,,,https://ir.jdhealth.com
power construction corp of china ltd,601669,975,,china,industrials,engineering & construction,"beijing, china","132,125",,18690000000,,,https://www.powerchina.cn
air china ltd,601111,974,,china,industrials,airlines,"beijing, china","89,373",,18720000000,,,https://www.airchina.com.cn
credit suisse group ag,csgn,973,thomas p gottstein,switzerland,financials,banks,"zurich, switzerland","50,110",1856,18720000000,chf 22.4 billion (2020),chf 2.847 billion (2020),"https://www.credit-suisse.com, https://www.facebook.com/creditsuisse, https://twitter.com/creditsuisse, https://www.linkedin.com/company/credit-suisse, https://en.wikipedia.org/wiki/credit suisse"
the liberty siriusxm group,lsxmb,972,,united states,communication services,broadcasting,"englewood, co, united states",84,1991,18740000000,8039999999,us$1.421.0 billion (2020),"https://www.libertymedia.com/tracking-stocks/liberty-siriusxm-group, https://en.wikipedia.org/wiki/liberty media"
ms&ad insurance group holdings inc,8725,971,noriyuki hara,japan,financials,insuranceproperty & casualty,"tokyo, japan","41,501",,18750000000,,,https://www.ms-ad-hd.com
healthpeak properties inc,peak,970,thomas m herzog,united states,real estate,reithealthcare facilities,"denver, co, united states",196,1985,18760000000,$1.997 billion (2019) $1.847 billion (2018),43000000,"https://www.healthpeak.com, https://en.wikipedia.org/wiki/healthpeak properties"
netapp inc,ntap,969,george kurian,united states,technology,computer hardware,"sunnyvale, ca, united states","11,000",1992,18760000000,5740000000,730000000,"https://www.netapp.com, https://www.facebook.com/netapp, https://twitter.com/netapp, https://www.linkedin.com/company/netapp, https://en.wikipedia.org/wiki/netapp"
george weston limited,wn,968,galen g weston ba mba mba,canada,consumer staples,grocery stores,"toronto, on, canada","215,298","toronto, ontario, canada 1882",18770000000,$54.705 billion can (2020),$486 million can (2012),"https://www.weston.ca, https://en.wikipedia.org/wiki/george weston limited"
scottish mortgage investment trust plc,smt,967,,united kingdom,financials,asset management,,,1909,18780000000,,,"https://www.scottishmortgageit.com, https://en.wikipedia.org/wiki/scottish mortgage investment trust"
international paper company,inpap,966,,united states,consumer discretionary,packaging & containers,"memphis, tn, united states","49,300",1898,18780000000,20580000000,482000000,"https://internationalpaper.com, https://en.wikipedia.org/wiki/international paper"
aecc aviation power coltd,600893,965,,china,industrials,aerospace & defense,"xi'an, china","34,977",,18790000000,,,https://www.xaec.com
omnicom group inc,omc,964,john d wren,united states,communication services,advertising agencies,"new york, ny, united states","71,700",1986,18800000000,13171000000,945000000,"https://www.omnicomgroup.com, https://www.facebook.com/omnicomgroupinc, https://twitter.com/omnicom, https://www.linkedin.com/company/omnicom, https://en.wikipedia.org/wiki/omnicom group"
astra international tbk pt,asja,963,,indonesia,consumer discretionary,auto parts,"jakarta, indonesia","123,894",,18900000000,,,https://www.astra.co.id
lg electronics inc,066570,962,joo-wan cho,south korea,technology,consumer electronics,"seoul, south korea","37,245",,18910000000,,,https://www.lg.com
toshiba corp,6502,961,taro shimada,japan,industrials,specialty industrial machinery,"tokyo, japan","117,300",,18930000000,,,https://www.toshiba.co.jp
check point software technologies ltd,chkp,960,gil shwed,israel,technology,softwareinfrastructure,"tel aviv, israel","6,000",1993,18940000000,2167000000,904000000,"https://www.checkpoint.com, https://en.wikipedia.org/wiki/check point"
citizens financial group inc,cfg,959,bruce winfield van saun,united states,financials,banks,"providence, ri, united states","17,463",1828,18950000000,6128000000,1721000000,"https://www.citizensbank.com, https://www.facebook.com/citizensbank, https://twitter.com/citizensbank, https://www.linkedin.com/company/citizens-bank/, https://en.wikipedia.org/wiki/citizens financial group"
