name,master_cap,country,rank,share_price
apple,2182999999999,usa, 1,137
saudi aramco,1887000000000,saudi arabia, 2,8
microsoft,1790000000000,usa, 3,240
alphabet google,1278000000000,usa, 4,99
amazon,992110000000,usa, 5,97
berkshire hathaway,683330000000,usa, 6,309
tencent,481920000000,china, 7,50
visa,475000000000,usa, 8,224
tsmc,472080000000,taiwan, 9,91
exxon mobil,466800000000,usa, 10,113
unitedhealth,454760000000,usa, 11,486
nvidia,444540000000,usa, 12,178
johnson & johnson,441160000000,usa, 13,168
lvmh,425980000000,france, 14,850
tesla,421300000000,usa, 15,133
jpmorgan chase,396360000000,usa, 16,135
walmart,379000000000,usa, 17,140
meta platforfacebook,365450000000,usa, 18,139
mastercard,361770000000,usa, 19,376
chevron,349790000000,usa, 20,180
kweichow moutai,348710000000,china, 21,277
procter & gamble,338790000000,usa, 22,142
samsung,335280000000,south korea, 23,49
nestle,332300000000,switzerland, 24,120
eli lilly,328820000000,usa, 25,346
home depot,321040000000,usa, 26,315
novo nordisk,317350000000,denmark, 27,141
alibaba,317330000000,china, 28,119
merck,278740000000,usa, 29,109
asml,274760000000,netherlands, 30,648
bank of america,270690000000,usa, 31,33
abbvie,264540000000,usa, 32,149
roche,260560000000,switzerland, 33,317
coca-cola,259810000000,usa, 34,60
pfizer,253210000000,usa, 35,45
international holding company,241520000000,united arab emirates, 36,110
broadcom,238520000000,usa, 37,570
oracle,235240000000,usa, 38,87
thermo fisher scientific,232830000000,usa, 40,593
l'oreal,225200000000,france, 41,413
icbc,219380000000,china, 42,0
astrazeneca,216210000000,uk, 43,69
costco,213030000000,usa, 44,480
shell,205690000000,uk, 45,58
reliance industries,203400000000,india, 46,30
toyota,201110000000,japan, 47,146
danaher,199750000000,usa, 48,274
novartis,198080000000,switzerland, 49,92
mcdonald,196710000000,usa, 50,268
abbott laboratories,196700000000,usa, 51,112
nike,196330000000,usa, 52,126
cisco,192170000000,usa, 53,46
hermes,190260000000,france, 54,1
walt disney,188700000000,usa, 55,103
t-mobile us,180550000000,usa, 56,145
accenture,176760000000,ireland, 57,280
bhp group,175760000000,australia, 58,69
comcast,170210000000,usa, 59,39
wells fargo,168380000000,usa, 60,43
verizon,167990000000,usa, 61,40
china construction bank,165550000000,china, 62,0
catl,164760000000,china, 63,67
prosus,164080000000,netherlands, 64,81
adobe,163150000000,usa, 65,356
nextera energy,162580000000,usa, 66,81
linde,161860000000,uk, 67,328
morgan stanley,161200000000,usa, 68,96
totalenergies,157910000000,france, 69,63
philip morris,157840000000,usa, 70,101
bristol-myers squibb,157650000000,usa, 71,74
texas instruments,157000000000,usa, 72,173
cm bank,156780000000,china, 73,6
china mobile,156600000000,china, 74,7
dior,155200000000,france, 75,838
united parcel service,154060000000,usa, 76,178
netflix,152410000000,usa, 77,342
conocophillips,151770000000,usa, 78,121
tata consultancy services,151450000000,india, 79,41
salesforce,151240000000,usa, 80,151
agricultural bank of china,150240000000,china, 81,0
hsbc,147120000000,uk, 82,36
charles schwab,143790000000,usa, 83,77
ping an insurance,142500000000,china, 84,7
amgen,140450000000,usa, 85,263
sap,139270000000,germany, 86,117
royal bank of canada,139220000000,canada, 87,100
raytheon technologies,138710000000,usa, 88,94
qualcomm,137770000000,usa, 89,122
at&t,137050000000,usa, 90,19
petrochina,136139999999,china, 91,0
honeywell,135820000000,usa, 92,202
meituan,133229999999,china, 93,21
bank of china,133139999999,china, 94,0
aia,131250000000,hong kong, 95,11
hdfc bank,131030000000,india, 96,70
caterpillar,129949999999,usa, 97,249
unilever,129150000000,uk, 98,51
union pacific corporation,128280000000,usa, 99,208
commonwealth bank,127830000000,australia, 100,75
rio tinto,127040000000,uk, 101,78
ibm,126560000000,usa, 102,141
china life insurance,126350000000,china, 103,5
lowe's companies,123670000000,usa, 104,204
boeing,123220000000,usa, 105,206
sanofi,123100000000,france, 106,49
siemens,122110000000,germany, 107,154
deere & company,122010000000,usa, 108,410
toronto dominion bank,121340000000,canada, 109,66
wuliangye yibin,120910000000,china, 110,31
anheuser-busch inbev,120750000000,belgium, 111,59
intel,120590000000,usa, 112,29
starbucks,120560000000,usa, 113,105
s&p global,119910000000,usa, 114,368
pinduoduo,117380000000,china, 115,92
lockheed martin,116170000000,usa, 116,443
elevance health,114510000000,usa, 117,479
goldman sachs,114480000000,usa, 118,341
cvs health,114310000000,usa, 119,87
prologis,113370000000,usa, 120,122
american express,113280000000,usa, 121,151
amd,112970000000,usa, 122,70
intuit,111820000000,usa, 123,398
blackrock,111070000000,usa, 124,741
sony,110900000000,japan, 125,89
deutsche telekom,108910000000,germany, 126,21
bp,108050000000,uk, 127,35
medtronic,107620000000,ireland, 128,80
jingdong mall,107210000000,china, 129,60
taqa,106830000000,united arab emirates, 130,0
keyence,106640000000,japan, 131,439
diageo,105370000000,uk, 132,185
byd,105050000000,china, 133,40
gilead sciences,104110000000,usa, 134,83
american tower,103080000000,usa, 135,221
ntt nippon telegraph & telephone,102450000000,japan, 136,29
airbus,101710000000,netherlands, 137,129
porsche,101600000000,germany, 138,111
csl,100470000000,australia, 139,208
citigroup,98950000000,usa, 140,51
automatic data processing,98380000000,usa, 141,237
equinor,97620000000,norway, 142,31
stryker corporation,96960000000,usa, 143,256
allianz,96530000000,germany, 144,239
estee lauder,95460000000,usa, 145,267
cigna,94270000000,usa, 146,308
mitsubishi ufj financial,94150000000,japan, 147,7
inditex,92750000000,spain, 148,14
applied materials,92550000000,usa, 149,109
tjx companies,91900000000,usa, 150,79
glencore,91540000000,switzerland, 151,7
chubb,91480000000,switzerland, 152,220
booking holdings bookingcom,90930000000,usa, 153,2
intuitive surgical,90730000000,usa, 154,256
schneider electric,90360000000,france, 155,155
paypal,90160000000,usa, 156,79
servicenow,89240000000,usa, 157,441
lg energy solution,88790000000,south korea, 158,379
merck kgaa,88480000000,germany, 159,203
mondelez,87450000000,usa, 160,64
british american tobacco,86770000000,uk, 161,38
essilorluxottica,86680000000,france, 162,189
marsh & mclennan companies,85860000000,usa, 163,173
vale,85030000000,brazil, 164,18
general electric,84870000000,usa, 165,77
enbridge,84750000000,canada, 166,41
compagnie financiere richemont,84280000000,switzerland, 167,146
analog devices,84120000000,usa, 168,165
canadian national railway,83590000000,canada, 169,123
al rajhi bank,82790000000,saudi arabia, 170,20
air liquide,82140000000,france, 171,157
china shenhua energy,81620000000,china, 172,4
schlumberger,81430000000,usa, 173,57
bnp paribas,80910000000,france, 174,64
altria group,80540000000,usa, 175,44
vertex pharmaceuticals,79530000000,usa, 176,309
infosys,78680000000,india, 177,18
regeneron pharmaceuticals,78620000000,usa, 178,722
volkswagen,78620000000,germany, 179,134
duke energy,78400000000,usa, 180,101
eog resources,77970000000,usa, 181,132
sinopec,77860000000,china, 182,0
mercedes-benz,76430000000,germany, 183,71
zoetis,76340000000,usa, 184,163
sabic,75520000000,saudi arabia, 185,25
icici bank,75070000000,india, 186,21
petrobras,74740000000,brazil, 187,11
target,74660000000,usa, 188,162
progressive,74660000000,usa, 189,127
moderna,74520000000,usa, 190,193
hca healthcare,73900000000,usa, 191,261
hindustan unilever,73710000000,india, 192,31
canadian pacific railway,73670000000,canada, 193,79
southern company,73070000000,usa, 194,67
glaxosmithkline,72420000000,uk, 195,35
cnooc,72300000000,china, 196,1
becton dickinson,72150000000,usa, 197,253
iberdrola,71730000000,spain, 198,11
china yangtze power,71370000000,china, 199,3
zurich insurance group,71280000000,switzerland, 200,480
axa,71170000000,france, 201,30
us bancorp,71090000000,usa, 202,46
china tourism group duty free,70910000000,china, 203,34
kering,70600000000,france, 204,577
bank of montreal,69520000000,canada, 205,98
illinois tool works,69510000000,usa, 206,226
national australia bank,69410000000,australia, 207,22
northrop grumman,69370000000,usa, 208,450
alpha dhabi,68880000000,united arab emirates, 209,6
bank central asia,67580000000,indonesia, 210,0
air products and chemicals,67569999999,usa, 211,304
ubs,67370000000,switzerland, 212,21
aon,67300000000,uk, 213,325
csx corporation,67290000000,usa, 214,32
dbs group,67230000000,singapore, 215,26
walmex,67099999999,mexico, 216,3
kddi,67030000000,japan, 217,30
postal savings bank of china,67010000000,china, 218,0
canadian natural resources,66800000000,canada, 219,60
3m,66680000000,usa, 220,120
america movil,66650000000,mexico, 221,20
equinix,66629999999,usa, 222,720
softbank,66580000000,japan, 223,45
fiserv,66069999999,usa, 224,104
boston scientific,65340000000,usa, 225,45
state bank of india,65040000000,india, 226,7
freeport-mcmoran,64900000000,usa, 227,45
lam research,64430000000,usa, 228,472
vinci,64340000000,france, 229,112
bmw,64269999999,germany, 230,97
crown castle,64140000000,usa, 231,148
airbnb,64120000000,usa, 232,101
general dynamics,63910000000,usa, 233,232
micron technology,63790000000,usa, 234,58
truist financial,63580000000,usa, 235,47
sherwin-williams,63570000000,usa, 236,245
abb,63380000000,switzerland, 237,33
colgate-palmolive,63000000000,usa, 238,75
cme group,62970000000,usa, 239,175
humana,62950000000,usa, 240,497
daiichi sanky,62440000000,japan, 241,32
waste management,62410000000,usa, 242,152
enel,62410000000,italy, 243,6
atlas copco,62300000000,sweden, 244,11
pnc financial services,62100000000,usa, 245,154
nongfu spring,61850000000,china, 246,5
eaton,61840000000,ireland, 247,155
mindray,61710000000,china, 248,50
charter communications,61660000000,usa, 249,396
scotiabank,61550000000,canada, 250,51
china telecom,61420000000,china, 251,0
blackstone group,61370000000,usa, 252,85
housing development finance corporation,61060000000,india, 253,33
occidental petroleum,60810000000,usa, 254,66
emirates telecom etisalat group,60710000000,united arab emirates, 255,6
intercontinental exchange,60590000000,usa, 256,108
uber,60550000000,usa, 257,30
siemens healthineers,60530000000,germany, 258,52
bayer,60150000000,germany, 259,60
anglo american,60050000000,uk, 260,43
safran,59940000000,france, 261,140
hong kong exchanges & clearing,59810000000,hong kong, 262,47
kkr & co,59680000000,usa, 263,53
fast retailing,59680000000,japan, 264,584
midea,59600000000,china, 265,8
investor ab,59320000000,sweden, 266,19
marathon petroleum,58920000000,usa, 267,125
norfolk southern,58720000000,usa, 268,253
moody's,58710000000,usa, 269,320
kla,58640000000,usa, 270,413
netease,58510000000,china, 271,89
westpac banking,58460000000,australia, 272,16
sumitomo mitsui financial group,58380000000,japan, 273,8
southern copper,58020000000,usa, 274,75
activision blizzard,57780000000,usa, 275,73
verbund ag,57610000000,, 276,82
pioneer natural resources,56880000000,usa, 277,239
the saudi national bank,56810000000,saudi arabia, 278,12
heineken,56730000000,netherlands, 279,98
thomson reuters,56550000000,canada, 280,117
relx,56510000000,uk, 281,29
santander,56330000000,spain, 282,3
bharti airtel,56090000000,india, 283,9
enterprise products,55990000000,usa, 284,25
industrial bank,55680000000,china, 285,2
mercadolibre,55220000000,, 286,1
foshan haitian flavouring and food,55140000000,china, 287,11
metlife,55070000000,usa, 288,70
valero energy,55020000000,usa, 289,142
life insurance corporation of india lic,54390000000,india, 290,8
mckesson,53600000000,usa, 291,378
tokyo electron,53590000000,japan, 292,344
united heavy machinery,53580000000,russia, 293,63
pernod ricard,53490000000,france, 294,207
longi green energy technology,53350000000,china, 295,7
adani total gas,53220000000,india, 296,48
eni,53040000000,italy, 297,31
marriott international,52830000000,usa, 298,166
vmware,52760000000,usa, 299,124
deutsche post,52650000000,germany, 300,43
shin-etsu chemical,52610000000,japan, 301,130
monster beverage,52210000000,usa, 302,100
synopsys,52190000000,usa, 303,342
dominion energy,52010000000,usa, 304,62
anz bank,51790000000,australia, 305,17
recruit,51620000000,japan, 306,32
dollar general,51550000000,usa, 307,230
shopify,51490000000,canada, 308,40
hikvision,51330000000,china, 309,5
itc,51120000000,india, 310,4
london stock exchange,50920000000,uk, 311,92
basf,50920000000,germany, 312,56
public storage,50910000000,usa, 313,289
emerson,50860000000,usa, 314,87
oriental land,50850000000,japan, 315,155
edf electricite de france,50730000000,france, 316,13
reckitt benckiser,50730000000,uk, 317,70
takeda pharmaceutical,50580000000,japan, 318,16
phillips 66,50550000000,usa, 319,106
munich re munchener ruck,50350000000,germany, 320,360
bank of communications,50290000000,china, 321,0
general motors,50220000000,usa, 322,35
dassault systemes,49960000000,france, 323,37
saudi telecom company,49870000000,saudi arabia, 324,9
ford,49850000000,usa, 325,12
nintendo,49830000000,japan, 326,42
sempra energy,49660000000,usa, 327,157
o'reilly automotive,49640000000,usa, 328,793
woodside energy,49320000000,australia, 329,25
daikin,49320000000,japan, 330,168
keurig pepper,49150000000,usa, 331,34
maaden,49040000000,saudi arabia, 332,19
edwards lifesciences,49020000000,usa, 333,79
cadence design systems,48890000000,usa, 334,178
kraft heinz,48850000000,usa, 335,39
stellantis,48840000000,netherlands, 336,15
mitsubishi corporation,48740000000,japan, 337,33
macquarie,48690000000,australia, 338,125
sk hynix,48680000000,south korea, 339,70
ing,48580000000,netherlands, 340,13
adani enterprises,48490000000,india, 341,42
fortescue,48480000000,australia, 342,15
hitachi,48230000000,japan, 343,51
itau unibanco,48030000000,brazil, 344,4
hess,47720000000,usa, 345,154
bayan resources,47720000000,indonesia, 346,1
rational ag,47680000000,germany, 347,679
adyen,47630000000,netherlands, 348,1
american electric power,47360000000,usa, 349,92
national grid,47330000000,uk, 350,64
first abu dhabi bank,47220000000,united arab emirates, 351,4
fedex,47160000000,usa, 352,186
baidu,46900000000,china, 353,135
universal music group,46840000000,netherlands, 354,25
roper technologies,46830000000,usa, 355,441
snowflake,46570000000,usa, 356,144
archer daniels midland adm,46550000000,usa, 357,84
bank rakyat indonesia,46540000000,indonesia, 358,0
amphenol,46450000000,usa, 359,78
american international group,46410000000,usa, 360,62
itch shji,46310000000,japan, 361,31
alimentation couche-tard,46290000000,canada, 362,46
simon property group,46270000000,usa, 363,123
agilent technologies,46160000000,usa, 364,155
zijin mining,46150000000,china, 365,1
mitsui bussan,46140000000,japan, 366,29
samsung biologics,46020000000,south korea, 367,646
east money information,45810000000,china, 368,3
intesa sanpaolo,45680000000,italy, 369,2
general mills,45670000000,usa, 370,77
citic securities,45630000000,china, 371,3
kimberly-clark,45600000000,usa, 372,135
block,45540000000,usa, 373,76
johnson controls,45350000000,ireland, 374,66
prudential,45220000000,uk, 375,32
foxconn hon hai precision industry,44900000000,taiwan, 376,3
ferrari,44630000000,italy, 377,242
workday,44560000000,usa, 378,173
suncor energy,44550000000,canada, 379,33
corteva,44550000000,usa, 380,62
wanhua chemical,44470000000,china, 381,14
autodesk,44420000000,usa, 382,205
cintas,44360000000,usa, 383,436
aflac,44170000000,usa, 384,71
palo alto networks,44170000000,usa, 385,146
sf express,44100000000,china, 386,9
infineon,44020000000,germany, 387,33
the hershey company,43990000000,usa, 388,214
fidelity national information services,43860000000,usa, 389,73
realty income,43820000000,usa, 390,66
ping an bank,43810000000,china, 391,2
bajaj finance,43660000000,india, 392,72
nxp semiconductors,43660000000,netherlands, 393,168
autozone,43660000000,usa, 394,2
ecolab,43540000000,usa, 395,152
the travelers companies,43430000000,usa, 396,185
tc energy,43410000000,canada, 397,43
centene,43120000000,usa, 398,76
chipotle mexican grill,43110000000,usa, 399,1
kotak mahinbank,43090000000,india, 400,21
ocbc bank,43020000000,singapore, 401,9
wuxi apptec,43000000000,china, 402,13
motorola solutions,42680000000,usa, 403,255
chugai pharmaceutical,42660000000,japan, 404,25
bce,42580000000,canada, 405,46
ambev,42510000000,brazil, 406,2
paychex,42500000000,usa, 407,117
budweiser apac,42390000000,hong kong, 408,3
tokio marine,42390000000,japan, 409,21
newmont,42330000000,usa, 410,53
dexcom,42330000000,usa, 411,107
devon energy,42320000000,usa, 412,64
naspers,42200000000,south africa, 413,39
sika,42160000000,switzerland, 414,275
volvo group,42070000000,sweden, 415,19
exelon corporation,42070000000,usa, 416,42
nordea bank,42060000000,finland, 417,11
kinder morgan,41890000000,usa, 418,18
banco santander brasil,41790000000,brazil, 419,5
las vegas sands,41700000000,usa, 420,54
banco bilbao vizcaya argentaria,41680000000,spain, 421,6
iqvia,41530000000,usa, 422,223
compass group,41480000000,uk, 423,23
jiangsu hengrui medicine,41450000000,china, 424,6
sun hung kai properties,41410000000,hong kong, 425,14
lloyds banking group,41220000000,uk, 426,2
yanghe,41180000000,china, 427,27
biogen,41150000000,usa, 428,285
anta sports,41090000000,china, 429,15
nutrien,41000000000,canada, 430,78
msci,40910000000,usa, 431,511
arthur j gallagher & co,40880000000,usa, 432,193
constellation brands,40760000000,usa, 433,220
7-eleven,40750000000,japan, 434,46
honda,40650000000,japan, 435,23
idexx laboratories,40480000000,usa, 436,488
microchip technology,40480000000,usa, 437,73
dow,40420000000,usa, 438,57
atlassian,40300000000,australia, 439,157
apollo global management,40240000000,usa, 440,67
hapag-lloyd,40120000000,germany, 441,228
lululemon athletica,39880000000,canada, 442,312
ross stores,39850000000,usa, 443,115
bank of new york mellon,39800000000,usa, 444,49
mizuho financial group,39780000000,japan, 445,3
capital one,39760000000,usa, 446,104
stmicroelectronics,39510000000,switzerland, 447,41
cibc,39450000000,canada, 448,43
sysco,39440000000,usa, 449,77
energy transfer partners,39400000000,usa, 450,12
nucor,39370000000,usa, 451,153
muyuan foods,39280000000,china, 452,7
parker-hannifin,39200000000,usa, 453,305
trane technologies,39120000000,ireland, 454,169
wesfarmers,39000000000,australia, 455,34
denso,38960000000,japan, 456,51
larsen & toubro,38910000000,india, 457,27
republic services,38910000000,usa, 458,123
maersk,38900000000,denmark, 459,2
kuaishou technology,38850000000,china, 460,8
lonza,38720000000,switzerland, 461,522
te connectivity,38710000000,switzerland, 462,122
wuxi biologics,38660000000,china, 463,18
adani green energy,38510000000,india, 464,24
fortinet,38490000000,usa, 465,49
williacompanies,38320000000,usa, 466,31
rsted,37890000000,denmark, 467,88
jardine matheson,37780000000,hong kong, 468,52
cheniere energy,26840000000,usa, 667,55
adani transmission,37600000000,india, 470,33
xiaomi,37550000000,china, 471,1
hilton worldwide,37510000000,usa, 472,138
xcel energy,37510000000,usa, 473,68
neste,37430000000,finland, 474,48
dsv,37310000000,denmark, 475,165
lg chem,37270000000,south korea, 476,505
hoya,37240000000,japan, 477,104
uob,37220000000,singapore, 478,22
haleon,37030000000,uk, 479,8
sea garena,36990000000,singapore, 480,65
halliburton,36940000000,usa, 481,40
hcl technologies,36910000000,india, 482,13
alcon,36890000000,switzerland, 483,75
bank of china hong kong,36820000000,hong kong, 484,3
constellation software,36790000000,canada, 485,1
dupont de nemours,36740000000,usa, 486,73
l3harris technologies,36650000000,usa, 487,192
transdigm,36570000000,usa, 488,672
cenovus energy,36530000000,canada, 489,19
mediatek,36420000000,taiwan, 490,22
prudential financial,36290000000,usa, 491,98
aier eye hospital,36150000000,china, 492,5
japan tobacco,36130000000,japan, 493,20
natwest group,36020000000,uk, 494,7
haier smart home,35780000000,china, 495,3
manulife financial,35730000000,canada, 496,19
yum brands,35670000000,usa, 497,126
barclays,35650000000,uk, 498,8
murata manufacturing murata seisakusho,35620000000,japan, 499,56
carrier,35590000000,usa, 500,42
ameriprise financial,35460000000,usa, 501,333
arista networks,35370000000,usa, 502,115
credit agricole,35080000000,france, 503,11
axis bank,35050000000,india, 504,11
old dominion freight line,35020000000,usa, 505,317
da,34970000000,france, 506,54
china state construction engineering,34850000000,china, 507,0
mettler-toledo,34810000000,usa, 508,1
electronic arts,34780000000,usa, 509,125
vici properties,34720000000,usa, 510,33
biontech,34650000000,germany, 511,142
mplx,34580000000,usa, 512,34
china pacific insurance,34500000000,china, 513,3
paccar,34490000000,usa, 514,99
welltower,34410000000,usa, 515,72
resmed,34380000000,usa, 516,234
holcim group,34229999999,switzerland, 517,56
experian,34000000000,ireland, 518,36
cement roadstone holding,33820000000,ireland, 520,45
mtr corporation,33710000000,hong kong, 521,5
marvell technology group,33680000000,usa, 522,39
otis worldwide,33659999999,usa, 523,80
citic limited,33560000000,china, 524,1
barrick gold,33420000000,canada, 525,18
allstate,33320000000,usa, 526,125
consolidated edison,33280000000,usa, 527,93
pacific gas and electric,33220000000,usa, 528,15
cummins,33210000000,usa, 529,235
samsung sdi,33159999999,south korea, 530,235
telstra,33080000000,australia, 531,2
citic bank,33080000000,china, 532,0
waste connections,33080000000,usa, 533,128
luxshare precision,33009999999,china, 534,4
asian paints,32920000000,india, 535,34
interactive brokers,32890000000,usa, 536,78
engie,32850000000,france, 537,13
amerisourcebergen,32770000000,usa, 538,162
japan post bank,32750000000,japan, 539,8
deutsche borse,32729999999,germany, 540,178
bank of ningbo,32720000000,china, 541,4
ametek,32720000000,usa, 542,142
dollar tree,32680000000,usa, 543,147
bae systems,32659999999,uk, 544,10
airports of thailand,32570000000,thailand, 545,2
d r horton,32549999999,usa, 546,94
capgemini,32350000000,france, 547,185
caixabank,32250000000,spain, 548,4
cognizant technology solutions,32240000000,usa, 549,62
shanghai pudong development bank,32240000000,china, 550,1
illumina,32150000000,usa, 551,204
nidec,32130000000,japan, 552,55
sba communications,32040000000,usa, 553,296
keysight,31990000000,usa, 554,178
costar group,31930000000,usa, 555,78
fanuc,31840000000,japan, 556,166
kroger,31810000000,usa, 557,44
brown forman,31730000000,usa, 558,66
hyundai,31490000000,south korea, 559,33
great wall motors,31480000000,china, 560,4
unicredit,31430000000,italy, 561,16
peoples insurance company of china,31410000000,china, 562,0
hang seng bank,31380000000,hong kong, 563,16
maruti suzuki india,31370000000,india, 564,103
digital realty,31360000000,usa, 565,106
warner bros discovery,31330000000,usa, 566,13
baker hughes,31330000000,usa, 567,31
vodafone,31170000000,uk, 568,11
bank mandiri,31170000000,indonesia, 569,0
kbc,31150000000,belgium, 570,72
oneok,31150000000,usa, 571,69
vestas wind systems,31130000000,denmark, 572,29
the people's insurance company picc,31040000000,china, 573,0
smc corp,30990000000,japan, 574,474
rockwell automation,30980000000,usa, 575,270
walgreens boots alliance,30940000000,usa, 576,35
state street corporation,30920000000,usa, 577,84
yili group,30870000000,china, 578,4
weg on,30820000000,brazil, 579,7
ppg industries,30780000000,usa, 580,131
globalfoundries,30760000000,usa, 581,56
vanke,30710000000,china, 582,2
galaxy entertainment,30710000000,hong kong, 583,7
rwe,30600000000,germany, 584,45
singtel,30600000000,singapore, 585,1
generali,30520000000,italy, 586,19
nasdaq,30480000000,usa, 587,62
china overseas land & investment,30480000000,hong kong, 588,2
sun pharmaceutical,30420000000,india, 589,12
telus,30410000000,canada, 590,21
corning,30310000000,usa, 591,35
global payments,30260000000,usa, 592,111
enphase energy,30240000000,usa, 593,222
copart,30230000000,usa, 594,63
compagnie de saint-gobain,30170000000,france, 595,57
pseg,30150000000,usa, 596,60
fomento economico mexicano,30100000000,mexico, 597,84
banco bradesco,30050000000,brazil, 598,2
lyondellbasell,30050000000,usa, 599,92
hexagon,30040000000,sweden, 600,11
swisscom,29950000000,switzerland, 601,578
restaurant brands international,29930000000,canada, 602,66
imperial oil,29800000000,canada, 603,51
henkel,29670000000,germany, 604,71
ahold delhaize,29610000000,netherlands, 605,30
chunghwa telecom,29600000000,taiwan, 606,38
japan post holdings,29550000000,japan, 607,8
transurban,29540000000,australia, 608,9
coupang,29540000000,south korea, 609,16
gree electric appliances,29450000000,china, 610,5
woolworths group,29450000000,australia, 611,24
swiss re,29410000000,switzerland, 612,101
givaudan,29410000000,switzerland, 613,3
wec energy group,29360000000,usa, 614,93
albemarle,29110000000,usa, 615,248
kone,29060000000,finland, 616,56
adidas,29020000000,germany, 617,159
ptt pcl,28990000000,thailand, 618,1
dell,28830000000,usa, 619,40
sun life financial,28730000000,canada, 620,49
dnb,28700000000,norway, 621,18
on semiconductor,28650000000,usa, 622,66
international flavors & fragrances,28640000000,usa, 623,112
loblaw companies,28580000000,canada, 624,88
ferguson,28550000000,uk, 625,138
verisk analytics,28400000000,usa, 626,181
kuhne nagel,28390000000,switzerland, 627,237
eqt,28390000000,sweden, 628,21
discover financial services,28330000000,usa, 629,106
w w grainger,28300000000,usa, 630,560
alnylam pharmaceuticals,28250000000,usa, 631,229
foxconn industrial internet,28240000000,china, 632,1
shenzhen inovance,28210000000,china, 633,10
aptiv,28200000000,ireland, 634,104
franco-nevada,28190000000,canada, 635,147
fastenal,28060000000,usa, 636,49
eon,28050000000,germany, 637,10
dmart,28010000000,india, 638,43
cellnex telecom,28000000000,spain, 639,39
orange,27910000000,france, 640,10
jd health,27890000000,china, 641,8
sartorius,27870000000,germany, 642,373
eversource energy,27770000000,usa, 643,79
astellas pharma,27700000000,japan, 644,15
beigene,27690000000,china, 645,266
thales,27670000000,france, 646,130
fujitsu,27590000000,japan, 647,141
amadeus it group,27590000000,spain, 648,61
american water works,27550000000,usa, 649,151
mobileye,27550000000,israel, 650,34
lennar,27550000000,usa, 651,96
hp,27410000000,usa, 652,27
beiersdorf,27400000000,germany, 653,120
wolters kluwer,27400000000,netherlands, 654,108
willis towers watson,27380000000,uk, 655,253
wipro,27370000000,india, 656,5
sampo,27350000000,finland, 657,53
equifax,27260000000,usa, 658,222
flutter entertainment,27160000000,ireland, 659,73
constellation energy,27140000000,usa, 660,83
naturgy,27130000000,spain, 661,28
ashtead,27060000000,uk, 662,61
sandvik,27040000000,sweden, 663,20
coloplast,27010000000,denmark, 664,125
cdw corporation,26910000000,usa, 665,198
deutsche bank,26860000000,germany, 666,13
cheniere energy,26840000000,usa, 667,55
diamondback energy,26840000000,usa, 668,147
genmab,26810000000,denmark, 669,40
cbre group,26630000000,usa, 670,84
daimler truck,26610000000,germany, 671,31
united rentals,26590000000,usa, 672,383
china securities,26510000000,china, 673,4
t rowe price,26320000000,usa, 674,117
gartner,26310000000,usa, 675,332
smic,26210000000,china, 676,2
assa abloy,26150000000,sweden, 677,23
formosa petrochemical,26140000000,taiwan, 678,2
bajaj finserv,26130000000,india, 679,16
nokia,26080000000,finland, 680,4
zimmer biomet,26040000000,usa, 681,124
m&t bank,26010000000,usa, 682,153
titan company,25910000000,india, 683,29
arcelormittal,25900000000,, 684,30
saudi electricity,25900000000,saudi arabia, 685,6
intact financial,25890000000,canada, 686,147
saic motor,25870000000,china, 687,2
telkom indonesia,25870000000,indonesia, 688,26
alexandria real estate equities,25760000000,usa, 689,157
coca-cola european partners,25760000000,uk, 690,55
horizon therapeutics,25650000000,ireland, 691,113
agnico eagle mines,25640000000,canada, 692,56
china resources beer,25630000000,hong kong, 693,7
riyad bank,25570000000,saudi arabia, 694,8
edison international,25480000000,usa, 695,66
ultratech cement,25460000000,india, 696,88
enbw energie,25410000000,germany, 697,93
ebay,25320000000,usa, 698,46
veeva systems,25280000000,usa, 699,162
lindt,25230000000,switzerland, 700,10
skandinaviska enskilda banken,25200000000,sweden, 701,11
bridgestone,25160000000,japan, 702,36
goodman group,25140000000,australia, 703,13
delta air lines,25020000000,usa, 704,39
ulta beauty,24990000000,usa, 705,491
first republic bank,24920000000,usa, 706,136
ecopetrol,24850000000,, 707,12
standard chartered,24750000000,uk, 708,8
yum china,24730000000,china, 709,59
hannover ruck,24710000000,germany, 710,204
national bank of canada,24690000000,canada, 711,73
maybank,24600000000,malaysia, 712,4
rogers communication,24570000000,canada, 713,48
raymond james,24570000000,usa, 714,113
tripcom,24560000000,china, 715,38
sociedad quimica y minera,24550000000,chile, 716,85
delta electronics,24530000000,taiwan, 717,9
fubon financial,24470000000,taiwan, 718,1
ke holdings,24410000000,china, 719,19
seagen,24410000000,usa, 720,131
partners group,24390000000,switzerland, 721,935
ck hutchison holdings,24370000000,hong kong, 722,6
hormel foods,24350000000,usa, 723,44
epiroc,24290000000,sweden, 724,20
central japan railway,24270000000,japan, 725,123
crowdstrike,24230000000,usa, 726,103
firstenergy,24120000000,usa, 727,42
equity residential,24030000000,usa, 728,61
legrand,23990000000,france, 729,87
koninklijke dsm,23970000000,netherlands, 730,135
great-west lifeco,23910000000,canada, 731,25
the hartford,23870000000,usa, 732,75
avalonbay communities,23830000000,usa, 733,170
imperial brands,23820000000,uk, 734,25
naver,23790000000,south korea, 735,158
banorte,23790000000,mexico, 736,8
