name,code,rank,marketcap,country,share_price,change(1day),change(1year),categories
apple,aapl,1,2242000000000,usa,140,-1.38%,-17.67%,"tech, software, dowjones, techhardware, electronics"
mcdonald,mcd,46,198000000000,usa,270,-0.53%,4.01%,"restaurantchains, dowjones, food"
t-mobile us,tmus,51,185110000000,usa,148,-0.40%,27.01%,telecommunication
toyota,tm,49,195660000000,japan,141,0.55%,-24.32%,"automakers, manufacturing"
cisco,csco,47,197920000000,usa,48,-0.84%,-17.05%,"tech, electronics, networkinghardware, dowjones, telecommunicationsequipment, techhardware"
danaher,dhr,50,195260000000,usa,268,1.09%,-14.40%,conglomerate
novartis,nvs,48,197310000000,switzerland,91,1.09%,13.70%,"pharmaceuticals, biotech"
abbott laboratories,abt,52,182740000000,usa,104,0.91%,-20.85%,medicaldevices
l'oreal,or.pa,45,199760000000,france,373,-0.35%,-22.15%,"consumergoods, cac40, cosmeticsandbeauty"
icbc,1398.hk,42,211550000000,china,0,1.05%,-12.50%,"banks, financialservices"
broadcom,avgo,43,209990000000,usa,518,-1.39%,-12.18%,"semiconductors, tech"
costco,cost,40,213320000000,usa,481,0.17%,-11.08%,"retail, supermarketchains"
oracle,orcl,41,212400000000,usa,78,-0.16%,-12.52%,"tech, software"
astrazeneca,azn,39,213370000000,uk,68,0.42%,25.73%,"pharmaceuticals, biotech"
shell,shel,44,204680000000,uk,56,-0.58%,26.80%,"oilgas, energy"
reliance industries,reliance.ns,38,217560000000,india,32,-0.05%,1.80%,conglomerate
lowe's companies,low,100,125100000000,usa,206,2.47%,-19.47%,retail
hdfc bank,hdb,99,125580000000,india,67,-0.95%,0.40%,"banks, financialservices"
lockheed martin,lmt,98,126110000000,usa,481,-0.58%,41.88%,"aerospace, defensecontractors, aircraftmanufacturers, manufacturing"
aia,1299.hk,97,126630000000,hong kong,10,4.95%,2.28%,insurance
petrochina,601857.ss,95,129070000000,china,0,-0.77%,-5.13%,"oilgas, energy"
elevance health,elv,96,127170000000,usa,529,0.28%,28.85%,"healthcare, insurance"
unilever,ul,94,129330000000,uk,50,-0.68%,-2.92%,"food, consumergoods"
sap,sap,93,129889999999,germany,107,0.09%,-19.80%,"tech, software, dax"
union pacific corporation,unp,92,130470000000,usa,212,0.51%,-14.24%,"railways, transportation, infrastructure"
salesforce,crm,91,130470000000,usa,130,-2.09%,-51.13%,"software, dowjones, tech"
cm bank,3968.hk,90,130680000000,china,5,2.94%,-37.89%,"banks, financialservices"
ibm,ibm,89,132000000000,usa,147,-0.16%,21.13%,"tech, software, dowjones"
qualcomm,qcom,88,132509999999,usa,118,-1.31%,-35.66%,"tech, semiconductors, techhardware"
deere & company,de,87,132990000000,usa,440,0.55%,21.95%,"machinerymanufacturing, manufacturing"
royal bank of canada,ry,86,134259999999,canada,96,-0.23%,-6.27%,"banks, financialservices"
prosus,prx.as,85,134289999999,netherlands,66,1.97%,-21.86%,investment
meituan,3690.hk,80,141730000000,china,22,6.45%,-27.32%,"internet, tech, ecommerce"
cvs health,cvs,84,134389999999,usa,102,1.08%,10.06%,"healthcare, pharmaceuticals, drugstore, retail"
netflix,nflx,82,137250000000,usa,308,0.94%,-50.70%,"entertainment, internet, tech"
at&t,t,81,137550000000,usa,19,0.68%,-16.38%,telecommunication
dior,cdi.pa,83,134889999999,france,747,-0.07%,-5.63%,"luxurygoods, clothing"
conocophillips,cop,78,143140000000,usa,114,-0.63%,54.06%,"oilgas, energy"
agricultural bank of china,601288.ss,79,142890000000,china,0,0.69%,-8.70%,"banks, financialservices"
ping an insurance,601318.ss,105,120970000000,china,6,0.96%,-14.43%,insurance
3m,mmm,196,69830000000,usa,126,1.42%,-28.43%,"dowjones, glovesppe"
china yangtze power,600900.ss,200,68170000000,china,3,-0.10%,-1.96%,"electricity, utilitycompanies"
humana,hum,198,69520000000,usa,549,0.52%,26.83%,insurance
iberdrola,ibe.mc,197,69790000000,spain,11,-0.50%,0.62%,"electricity, energy"
moderna,mrna,199,68760000000,usa,179,3.15%,-36.60%,"pharmaceuticals, mrnatherapeutics, biotech"
air products and chemicals,apd,194,70010000000,usa,315,1.12%,6.64%,chemicals
mercedes-benz,mbg.de,192,70560000000,germany,65,-0.55%,-19.06%,"automakers, manufacturing, dax, autonomousdriving"
becton dickinson,bdx,195,69840000000,usa,246,0.86%,-1.55%,medicaldevices
zoetis,zts,193,70020000000,usa,150,-1.83%,-33.43%,"pharmaceuticals, biotech"
zurich insurance group,zurn.sw,189,70970000000,switzerland,478,0.09%,12.48%,insurance
target,tgt,190,70770000000,usa,153,-0.83%,-37.40%,"retail, supermarketchains"
schlumberger,slb,191,70610000000,usa,49,-2.12%,61.90%,"oilgas, energy"
mitsubishi ufj financial,mufg,188,71080000000,japan,5,0.93%,-3.37%,"banks, financialservices"
petrobras,pbr,187,72260000000,brazil,11,-0.06%,-0.63%,"oilgas, energy"
sinopec,600028.ss,184,73630000000,china,0,-1.31%,-1.52%,"oilgas, energy"
canadian pacific railway,cp,185,73450000000,canada,78,0.05%,8.30%,"railways, transportation, infrastructure"
gazprom,gazp.me,186,73260000000,russia,3,0.04%,-32.02%,"oilgas, energy"
compagnie financiere richemont,cfr.sw,182,74110000000,switzerland,130,1.15%,-16.48%,luxurygoods
southern company,so,181,74570000000,usa,68,0.03%,6.25%,"energy, oilgas, electricity, utilitycompanies"
glaxosmithkline,gsk,180,75490000000,uk,36,-2.74%,-12.98%,"biotech, pharmaceuticals"
booking holdings bookingcom,bkng,179,75850000000,usa,1,-4.24%,-12.89%,"internet, travel, onlinetravel, tech"
eog resources,eog,183,74100000000,usa,126,-1.28%,39.31%,"energy, oilgas"
air liquide,ai.pa,178,75980000000,france,144,-0.28%,-17.43%,"cac40, chemicals"
duke energy,duk,176,76680000000,usa,99,-0.93%,-1.57%,"energy, electricity, oilgas, utilitycompanies"
progressive,pgr,177,76330000000,usa,130,-0.37%,34.78%,insurance
bayer,bayzf,267,55330000000,germany,55,0.63%,8.92%,"pharmaceuticals, chemicals, dax, biotech"
marathon petroleum,mpc,298,51080000000,usa,109,-0.27%,69.70%,
itc,itc.ns,300,50960000000,india,4,-0.50%,40.27%,tobacco
archer daniels midland adm,adm,297,51180000000,usa,93,2.55%,45.22%,food
sempra energy,sre,299,51050000000,usa,162,-1.77%,27.98%,"energy, oilgas, electricity, infrastructure"
general mills,gis,296,51760000000,usa,87,2.16%,35.08%,food
rosneft,rosn.me,292,52210000000,russia,5,-3.77%,-30.20%,"oilgas, energy"
enterprise products,epd,294,51900000000,usa,23,-1.49%,13.46%,"oilgas, energy"
reckitt benckiser,rkt.l,291,52260000000,uk,71,-0.61%,-12.37%,consumergoods
midea,000333.sz,293,51920000000,china,7,0.98%,-32.67%,"homekitchenappliances, manufacturing"
o'reilly automotive,orly,295,51860000000,usa,828,-0.10%,23.19%,
public storage,psa,290,52270000000,usa,296,2.71%,-12.77%,"realestate, investment, reits"
safran,saf.pa,289,52560000000,france,122,0.72%,2.51%,"cac40, aerospace, defensecontractors"
uber,uber,288,52650000000,usa,26,-1.93%,-30.67%,"ridesharing, internet, tech, transportation"
ford,f,287,52660000000,usa,13,-1.36%,-34.37%,"automakers, manufacturing"
kkr & co,kkr,284,53140000000,usa,47,-3.47%,-39.06%,investment
industrial bank,601166.ss,285,52860000000,china,2,0.91%,-15.61%,"banks, financialservices"
monster beverage,mnst,286,52850000000,usa,101,-0.21%,14.55%,beverages
london stock exchange,ls4c.f,281,53400000000,uk,96,0.55%,9.86%,"financialservices, stockexchanges, stockcryptoexchanges"
moody's,mco,282,53250000000,usa,290,-0.66%,-27.04%,financialservices
foshan haitian flavouring and food,603288.ss,283,53170000000,china,11,-2.20%,-35.07%,food
united heavy machinery,omzzp.me,280,53580000000,russia,63,-1.34%,-11.95%,"machinerymanufacturing, manufacturing"
anglo american,aal.l,278,53730000000,uk,39,0.00%,0.15%,mining
china telecom,0728.hk,277,53920000000,china,0,-0.63%,28.13%,telecommunication
keurig pepper,kdp,279,53730000000,usa,37,0.72%,8.62%,beverages
general motors,gm,276,53920000000,usa,37,-0.16%,-38.31%,"automakers, manufacturing"
maaden,1211.sr,369,44770000000,saudi arabia,18,3.17%,-5.46%,mining
samsung biologics,207940.ks,370,44620000000,south korea,626,-0.48%,-15.60%,"biotech, manufacturing"
hess,hes,400,41550000000,usa,134,-0.62%,68.53%,"oilgas, energy"
autodesk,adsk,398,41710000000,usa,193,-0.65%,-30.13%,"software, tech"
wanhua chemical,600309.ss,399,41630000000,china,13,-0.21%,-15.05%,chemicals
cheniere energy,cqp,627,27670000000,usa,57,0.32%,40.01%,"oilgas, energy"
devon energy,dvn,395,42000000000,usa,64,0.19%,42.40%,
exelon corporation,exc,394,42040000000,usa,42,-1.31%,-21.53%,electricity
chipotle mexican grill,cmg,397,41840000000,usa,1,0.07%,-11.82%,"restaurantchains, food"
biogen,biib,393,42060000000,usa,292,0.23%,28.80%,"pharmaceuticals, biotech"
infineon,ifx.de,390,42450000000,germany,32,0.52%,-32.64%,"semiconductors, tech, dax, techhardware"
nxp semiconductors,nxpi,389,42480000000,netherlands,163,0.53%,-31.37%,"semiconductors, tech, techhardware"
workday,wday,391,42330000000,usa,164,2.08%,-41.22%,"software, tech"
bce,bce,387,42680000000,canada,46,-0.15%,-10.88%,"telecommunication, mediapress"
sysco,syy,388,42660000000,usa,84,-0.08%,15.46%,
republic services,rsg,385,42840000000,usa,135,-0.97%,-0.02%,wasterecycling
ecolab,ecl,392,42140000000,usa,147,-0.31%,-35.88%,
tc energy,trp,386,42690000000,canada,42,-0.09%,-9.82%,"oilgas, transportation, energy, infrastructure"
chugai pharmaceutical,4519.t,382,43330000000,japan,26,-1.18%,-17.60%,"pharmaceuticals, biotech"
mercadolibre,meli,380,43440000000,argentina,863,0.08%,-26.69%,"ecommerce, internet, tech"
enphase energy,enph,384,43090000000,usa,317,2.36%,42.46%,"software, tech, electronics"
fortescue,fmg.ax,383,43110000000,australia,14,-1.75%,10.76%,mining
the travelers companies,trv,377,44060000000,usa,188,-0.24%,22.84%,"dowjones, insurance"
ing,ing,379,43920000000,netherlands,11,-0.08%,-16.91%,"banks, financialservices"
cadence design systems,cdns,378,44050000000,usa,160,-1.88%,-12.14%,"software, tech, electronics, techhardware"
paychex,payx,381,43400000000,usa,120,-0.16%,-2.18%,professionalservices
consolidated edison,ed,500,34270000000,usa,96,-0.99%,18.43%,"electricity, energy"
marvell technology group,mrvl,496,34470000000,usa,40,-1.65%,-55.84%,"tech, semiconductors, techhardware, manufacturing"
xiaomi,xiacf,499,34290000000,china,1,-3.51%,-43.55%,"electronics, tech, techhardware"
cummins,cmi,498,34400000000,usa,243,-0.75%,11.00%,"machinerymanufacturing, manufacturing"
dsv,dsv.vi,494,34500000000,denmark,154,0.48%,-28.10%,transportation
allstate,all,495,34500000000,usa,130,-0.15%,18.02%,insurance
amerisourcebergen,abc,497,34470000000,usa,170,0.57%,42.48%,healthcare
wuxi apptec,2359.hk,493,34620000000,china,10,6.11%,-50.51%,"pharmaceuticals, medicaldevices, biotech"
dupont de nemours,dd,492,34620000000,usa,69,-0.39%,-10.11%,chemicals
hapag-lloyd,hlag.de,491,34660000000,germany,197,-0.64%,-22.12%,"transportation, containershipping, maritimetransportation"
idexx laboratories,idxx,489,34790000000,usa,420,1.13%,-31.29%,
stmicroelectronics,stm,488,34860000000,switzerland,37,-0.19%,-24.82%,"cac40, semiconductors, tech, techhardware, manufacturing"
hoya,7741.t,486,34890000000,japan,97,-0.48%,-38.05%,"glassesandcontactlenses, manufacturing"
