name,market_cap,stock,country,sector,industry,headquarters,founded,employees,ceo
atlas copco ab,60970000000,atco.a,sweden,industrials,specialty industrial machinery,"nacka,sweden",," 42,862",mats rahmstram
adyen nv,61110000000,adyen,netherlands,technology,softwareinfrastructure,"amsterdam,netherlands",," 2,180",pieter willem van der does
hapag-lloyd ag,61460000000,hlag,germany,industrials,marine shipping,"hamburg,germany",," 14,106",rolf habben jansen
banco santander sa,61670000000,san,spain,financials,banks,"madrid,spain", 15 may 1857," 177,033",jose antonio alvarez alvarez
fidelity national information services inc,61730000000,fis,united states,technology,information technology services,"jacksonville,fl,unitedstates", 1968," 65,000",gary adam norcross
analog devices inc,62000000000,adi,united states,technology,semiconductors,"norwood,ma,unitedstates"," cambridge, massachusetts, united states 1965"," 24,700",vincent t roche
eaton corporation plc,62170000000,etn,ireland,industrials,specialty industrial machinery,"dublin,ireland", 1911," 85,947",craig arnold
pioneer natural resources company,62190000000,pxd,united states,energy,oil & gas e&p,"irving,tx,unitedstates", 1997," 1,932",scott douglas sheffield
nintendo co ltd,62200000000,7974,japan,communication services,electronic gaming & multimedia,"kyoto,japan",," 6,574",
moody's corporation,62580000000,mco,united states,financials,financial data & stock exchanges,"newyork,ny,unitedstates", 1909 ," 13,460",robert scott fauber
uber technologies inc,62660000000,uber,united states,technology,softwareapplication,"sanfrancisco,ca,unitedstates", march 2009," 29,300",dara khosrowshahi
sea limited,62660000000,se,singapore,communication services,electronic gaming & multimedia,"singapore,singapore",," 29,800",xiaodong li
paychex inc,49230000000,payx,united states,industrials,staffing & employment services,"rochester,ny,unitedstates", 1971," 15,000",martin mucci
centene corporation,49320000000,cnc,united states,healthcare,healthcare plans,"st.louis,mo,unitedstates", 1984," 72,500",sarah m london
the kraft heinz company,49420000000,khc,united states,consumer staples,packaged foods,"pittsburgh,pa,unitedstates"," july 2, 2015"," 36,000",miguel patricio
roper technologies inc,49660000000,rop,united states,industrials,specialty industrial machinery,"sarasota,fl,unitedstates", 1890," 19,300",laurence neil hunn
mercadolibre inc,49830000000,meli,argentina,consumer discretionary,internet retail,"buenosaires,argentina"," august 2, 1999"," 29,957",marcos eduardo galperan
illumina inc,49910000000,ilmn,united states,healthcare,diagnostics & research,"sandiego,ca,unitedstates", 1998," 9,800",francis a desouza
safran sa,50020000000,saf,france,industrials,aerospace & defense,"paris,france",," 77,008",olivier andries
synopsys inc,50180000000,snps,united states,technology,softwareinfrastructure,"mountainview,ca,unitedstates"," 1986 in research triangle park, north carolina."," 16,361",aart j de geus
novatek pjsc,50190000000,nvtk,russia,energy,oil & gas e&p,"tarko-sale,russia",,,leonid viktorovich mikhelson
ecolab inc,50290000000,ecl,united states,basic materials,specialty chemicals,"saintpaul,mn,unitedstates", 1923 ," 47,000",christophe beck
china tourism group duty free corp ltd,50460000000,601888,china,consumer discretionary,travel services,"beijing,china",," 14,217",
hon hai precision industry co ltd,50750000000,2317,taiwan,technology,electronic components,"newtaipeicity,taiwan",,,
fortescue metals group limited,50760000000,fmg,australia,basic materials,other industrial metals & mining,"eastperth,wa,australia", 2003," 10,232",elizabeth anne gaines ca
american electric power company inc,50950000000,aep,united states,utilities,utilitiesregulated electric,"columbus,oh,unitedstates", 1906," 16,688",nicholas k akins
archer-daniels-midland company,51030000000,adm,united states,consumer staples,farm products,"chicago,il,unitedstates"," minneapolis, minnesota, u.s.1902"," 39,218",juan ricardo luciano
general accident plc,51430000000,gaca,united kingdom,financials,insuranceproperty & casualty,,,,
agribank fcb,51490000000,agrip,united states,financials,credit services,"saintpaul,mn,unitedstates",,,
l3harris technologies inc,51510000000,lhx,united states,industrials,aerospace & defense,"melbourne,fl,unitedstates"," june 29, 2019"," 47,000",christopher e kubasik cpa cpa
toyota motor corporation,51550000000,7203,japan,consumer discretionary,auto manufacturers,"toyota,japan"," august 28, 1937"," 371,365",akio toyoda
denso corp,51580000000,6902,japan,consumer discretionary,auto parts,"kariya,japan",," 168,391",koji arima
bce inc,51710000000,bce,canada,communication services,telecom services,"verdun,qc,canada", 1983," 49,781",mirko bibic
stellantis nv,51800000000,stla,netherlands,consumer discretionary,auto manufacturers,"amsterdam,netherlands",," 281,595",carlos tavares
eni spa,52000000000,eni,italy,energy,oil & gas integrated,"rome,rm,italy", 10 february 1953," 31,495",claudio descalzi
itochu corp,52190000000,8001,japan,industrials,conglomerates,"tokyo,japan",," 125,944",masahiro okafuji
xilinx inc,52190000000,xlnx,united states,technology,semiconductors,"sanjose,ca,unitedstates", 1984," 4,890",victor peng
nxp semiconductors nv,52280000000,nxpi,netherlands,technology,semiconductors,"eindhoven,netherlands", established in 2006," 31,000",kurt sievers
fast retailing co ltd,52290000000,9983,japan,consumer discretionary,apparel retail,"yamaguchi,japan",," 55,589",tadashi yanai
liberty bancshares inc oh,52300000000,lbsi,united states,financials,banks,"ada,oh,unitedstates",,,ronald l zimmerly jr
occidental petroleum corporation,52300000000,oxy,united states,energy,oil & gas e&p,"houston,tx,unitedstates", june 1909," 11,678",vicki a hollub
sempra energy,52470000000,sre,united states,utilities,utilitiesdiversified,"sandiego,ca,unitedstates", 1998," 15,390",jeffrey walker martin
basf se,52760000000,bas,germany,basic materials,chemicals,"ludwigshafenamrhein,germany",," 108,718",martin brudermuller
thomson reuters corporation,53300000000,tri,canada,industrials,consulting services,"toronto,on,canada",," 24,400",stephen john hasker bcom mba
london stock exchange group plc,53330000000,lseg,united kingdom,financials,financial data & stock exchanges,"london,unitedkingdom", 23 june 2007," 24,158",david a schwimmer
lonza group ltd,53760000000,lonn,switzerland,healthcare,diagnostics & research,"basel,switzerland",," 16,218",
ferrari nv,53780000000,race,italy,consumer discretionary,auto manufacturers,"maranello,mo,italy", 13 september 1939," 4,609",benedetto vigna
snap inc,53860000000,snap,united states,communication services,internet content & information,"santamonica,ca,unitedstates"," september 16, 2011"," 5,661",evan spiegel
fortinet inc,53860000000,ftnt,united states,technology,softwareinfrastructure,"sunnyvale,ca,unitedstates", 2000," 10,195",ken xie
dollar general corporation,54300000000,dg,united states,consumer staples,discount stores,"goodlettsville,tn,unitedstates", october 1939," 163,000",todd j vasos
american international group inc,54310000000,aig,united states,financials,insurancediversified,"newyork,ny,unitedstates"," december 19, 1919"," 36,600",peter salvatore zaffino
marathon petroleum corporation,54540000000,mpc,united states,energy,oil & gas refining & marketing,"findlay,oh,unitedstates"," november 9, 2009"," 17,700",michael j hennigan
canadian pacific railway limited,54590000000,cp,canada,industrials,railroads,"calgary,ab,canada", 16 february 1881," 11,834",keith e creel
ambev sa,54690000000,abev3,brazil,consumer staples,beveragesbrewers,"saopaulo,sp,brazil",," 53,000",jean jereissati neto
heineken nv,54870000000,heia,netherlands,consumer staples,beveragesbrewers,"amsterdam,netherlands",," 81,070",rudolf gijsbert servaas van den brink
softbank group corp,54930000000,9984,japan,communication services,telecom services,"tokyo,japan",," 58,786",masayoshi son
ergo science corp,55230000000,ergn,united states,industrials,staffing & employment services,"northandover,ma,unitedstates",,,
keurig pepper inc,55280000000,kdp,united states,consumer staples,beveragesnon-alcoholic,"burlington,ma,unitedstates", 1981," 27,500",robert j gamgort
chugai pharmaceutical co ltd,55310000000,4519,japan,healthcare,drug manufacturersgeneral,"tokyo,japan",," 7,664",osamu okuda
daikin industriesltd,55580000000,6367,japan,industrials,building products & equipment,"osaka,japan",," 84,870",masanori togawa
national grid plc,55880000000,ng.,united kingdom,utilities,utilitiesdiversified,"london,unitedkingdom", 1990," 23,683",
zijin mining group co ltd,43930000000,601899,china,basic materials,gold,"longyan,china",," 43,876",
wipro limited,43980000000,wipro,india,technology,information technology services,"bengaluru,india", 29 december 1945," 220,000",thierry delaporte
samsung biologics coltd,44010000000,207940,south korea,healthcare,biotechnology,"incheon,southkorea",," 3,247",john chongbo rim
sumitomo mitsui financial group inc,44060000000,8316,japan,financials,banks,"tokyo,japan"," june 6, 1996"," 86,800",jun ohta
chipotle mexican grill inc,44110000000,cmg,united states,consumer discretionary,restaurants,"newportbeach,ca,unitedstates"," july 13, 1993"," 97,660",brian r niccol
cadence design systeinc,44230000000,cdns,united states,technology,softwareapplication,"sanjose,ca,unitedstates", 1988," 9,300",anirudh devgan phd
cintas corporation,44320000000,ctas,united states,industrials,specialty business services,"cincinnati,oh,unitedstates", 1929," 40,000",todd m schneider
iqvia holdings inc,44320000000,iqv,united states,healthcare,diagnostics & research,"durham,nc,unitedstates", 1982," 79,000",ari bousbib
autozone inc,44390000000,azo,united states,consumer discretionary,specialty retail,"memphis,tn,unitedstates"," july 4, 1979"," 65,100",william c rhodes iii
te connectivity ltd,44780000000,tel,switzerland,technology,electronic components,"schaffhausen,switzerland", 2007," 85,000",terrence r curtin cpa
intesa sanpaolo spa,44950000000,isp,italy,financials,banks,"turin,to,italy",," 78,000",carlo messina
pjsc lukoil,44960000000,lkoh,russia,energy,oil & gas integrated,"moscow,russia",," 101,374",vagit yusufovich alekperov
saudi arabian mining company,45000000000,1211,saudi arabia,basic materials,other industrial metals & mining,"riyadh,saudiarabia",,,robert g wilt
mitsui & co ltd,45090000000,8031,japan,energy,oil & gas e&p,"tokyo,japan",," 44,509",kenichi hori
datadog inc,45130000000,ddog,united states,technology,softwareapplication,"newyork,ny,unitedstates", 2010," 3,200",olivier pomel
