name,annual_revenue_usd,annual_net_income_usd,market_capitalization_2022,employees_number,ceo,headquarters_country,wikipedia_page_url,twitter_page_url,facebook_page_url
eli lilly and company,28318000000,5581000000,248240000000,35000,david a ricks,usa,https://en.wikipedia.org/wiki/eli lilly and company,https://twitter.com/lillypad,https://www.facebook.com/elilillyindia
adobe,15785000000,4822000000,242990000000,25988,shantanu narayen,usa,https://en.wikipedia.org/wiki/adobe systems,https://twitter.com/adobe,https://www.facebook.com/adobe
chevron corporation,155600000000,15620000000,241020000000,42595,michael wirth,usa,https://en.wikipedia.org/wiki/chevron corporation,https://twitter.com/chevron,https://www.facebook.com/chevron/
pepsico,79470000000,7610000000,240690000000,309000,ramon laguarta,usa,https://en.wikipedia.org/wiki/pepsico,https://twitter.com/pepsico,https://www.facebook.com/pepsico/
abbott laboratories,43075000000,7071000000,239710000000,113000,robert ford,usa,https://en.wikipedia.org/wiki/abbott laboratories,https://twitter.com/abbottglobal,https://www.facebook.com/abbott
netflix,29697000000,5116000000,239660000000,12135,ted sarandos reed hastings,usa,https://en.wikipedia.org/wiki/netflix,https://twitter.com/netflix,https://www.facebook.com/netflix
tata group,103000000000,,,750000,,india,https://en.wikipedia.org/wiki/tata group,,
thermo fisher scientific,39211000000,7725000000,239220000000,130000,marc n casper,usa,https://en.wikipedia.org/wiki/thermo fisher scientific,https://twitter.com/thermofisher,https://www.facebook.com/thermofisher/
abbvie,56197000000,11542000000,238450000000,50000,richard a gonzalez,usa,https://en.wikipedia.org/wiki/abbvie inc.,https://twitter.com/abbvie,https://www.facebook.com/abbvieglobal/
costco wholesale corporation,195920000000,5007000000,237760000000,288000,w craig jelinek,usa,https://en.wikipedia.org/wiki/costco,,https://www.facebook.com/costco
accenture,50533000000,5906000000,234500000000,699000,julie sweet,ireland,https://en.wikipedia.org/wiki/accenture,https://twitter.com/accentureindia,https://www.facebook.com/accenture/
oracle corporation,42440000000,6717000000,233690000000,132000,safra a catz,usa,https://en.wikipedia.org/wiki/oracle corporation,https://twitter.com/oracle,https://www.facebook.com/oracle
novo nordisk a/s,20838000000,7068000000,231350000000,45971,lars fruergaard jorgensen,denmark,https://en.wikipedia.org/wiki/novo nordisk,https://twitter.com/novonordisk,https://www.facebook.com/novonordisk
comcast corporation,116380000000,14160000000,228670000000,189000,brian l roberts,usa,https://en.wikipedia.org/wiki/comcast,https://twitter.com/comcast,https://www.facebook.com/xfinity/
verizon communications,133610000000,22060000000,227690000000,118400,hans vestberg,usa,https://en.wikipedia.org/wiki/verizon communications,https://twitter.com/verizonnews,
salesforcecom,26492000000,1444000000,224880000000,56606,marc benioff,usa,https://en.wikipedia.org/wiki/salesforce.com,https://twitter.com/salesforce,https://www.facebook.com/salesforce/
reliance industries,87614000000,7598000000,220760000000,236330,mukesh ambani,india,https://en.wikipedia.org/wiki/reliance industries,https://twitter.com/flameoftruth,https://www.facebook.com/relianceindustrieslimited
paypal holdings,25371000000,4169000000,220420000000,30900,daniel schulman,usa,https://en.wikipedia.org/wiki/paypal,https://twitter.com/paypal,https://www.facebook.com/paypal
wells fargo & company,78492000000,21548000000,218380000000,253871,charles w scharf,usa,https://en.wikipedia.org/wiki/wells fargo,https://twitter.com/wellsfargo,https://www.facebook.com/wellsfargo/
intel corporation,79020000000,19860000000,217340000000,121100,patrick p gelsinger,usa,https://en.wikipedia.org/wiki/intel,https://twitter.com/intelindia,https://www.facebook.com/intelindia
danaher corporation,29453000000,7465000000,211280000000,78000,rainer m blair,usa,https://en.wikipedia.org/wiki/danaher corporation,https://twitter.com/danaher u,
merck & co,48700000000,13040000000,202830000000,68000,robert m davis,usa,https://en.wikipedia.org/wiki/merck %26 co.,https://twitter.com/merck,https://www.facebook.com/merckinvents/
qualcomm,33560000000,9040000000,202060000000,45000,cristiano r aman,usa,https://en.wikipedia.org/wiki/qualcomm,https://twitter.com/qualcomm,https://www.facebook.com/qualcomm
novartis ag,52877000000,24021000000,201260000000,104323,vasant narasimhan,switzerland,https://en.wikipedia.org/wiki/novartis,https://twitter.com/novartis,https://www.facebook.com/novartis/
china merchants bank,48553000000,17790000000,199860000000,90867,huiyu tian,china,https://en.wikipedia.org/wiki/china merchants bank,,
mcdonald's corporation,23222000000,7545000000,199560000000,200000,chris kempczinski,usa,https://en.wikipedia.org/wiki/mcdonald's,https://twitter.com/mcdonalds,
contemporary amperex technology,18970000000,2318000000,197130000000,33078,zeng yuqun,china,https://en.wikipedia.org/wiki/contemporary amperex technology,,
tata consultancy services tcs,24002000000,4797000000,193870000000,606331,rajesh gopinathan,india,https://en.wikipedia.org/wiki/tata consultancy services,https://twitter.com/tcs,https://www.facebook.com/tataconsultancyservices/
united parcel service ups,97287000000,12890000000,189610000000,534000,carol b tome,usa,https://en.wikipedia.org/wiki/united parcel service,https://twitter.com/ups,
at&t,168860000000,19870000000,187740000000,203000,john t stankey,usa,https://en.wikipedia.org/wiki/at%26t,https://twitter.com/att,https://www.facebook.com/att
morgan stanley,56414000000,14566000000,186710000000,68097,james p gorman,usa,https://en.wikipedia.org/wiki/morgan stanley,,
china construction bank corporation,120930000000,44469000000,182170000000,349671,,china,https://en.wikipedia.org/wiki/china construction bank,,
royal dutch shell,180640000000,-21680000000,181560000000,86000,ben van beurden,netherlands,https://en.wikipedia.org/wiki/royal dutch shell,https://twitter.com/shell,https://www.facebook.com/shell
astrazeneca,37417000000,112000000,178120000000,83100,pascal soriot,uk,https://en.wikipedia.org/wiki/astrazeneca,https://twitter.com/astrazeneca,
the charles schwab corporation,18996000000,5855000000,173440000000,32000,walter w bettinger ii,usa,https://en.wikipedia.org/wiki/charles schwab corporation,https://twitter.com/charlesschwab,https://www.facebook.com/charlesschwab/
hermes international,9898000000,2695000000,172040000000,15417,axel dumas,france,https://en.wikipedia.org/wiki/herm%c3%a8s,https://twitter.com/hermes paris,https://www.facebook.com/hermes
linde ag,30793000000,3826000000,171940000000,74207,sanjiv lamba,uk ireland,https://en.wikipedia.org/wiki/linde plc,https://twitter.com/lindeplc,
nextera energy,17069000000,3573000000,169550000000,9700,james l robo,usa,https://en.wikipedia.org/wiki/nextera energy,,https://www.facebook.com/nexteraenergy/
lowe's companies,96250000000,8409000000,169170000000,220000,marvin ellison,usa,https://en.wikipedia.org/wiki/lowe%27s,,https://www.facebook.com/lowes
texas instruments,18344000000,7769000000,165720000000,31000,richard k templeton,usa,https://en.wikipedia.org/wiki/texas instruments,https://twitter.com/txinstruments,
union pacific corporation,21804000000,6523000000,163790000000,32124,lance m fritz,usa,https://en.wikipedia.org/wiki/union pacific railroad,https://twitter.com/unionpacific,https://www.facebook.com/unionpacific
bhp group,45066000000,21391000000,162910000000,80000,mike henry,australia,https://en.wikipedia.org/wiki/bhp,https://twitter.com/bhp,
sap se,30682000000,5791000000,162540000000,107415,christian klein,germany,https://en.wikipedia.org/wiki/sap se,https://twitter.com/sap,https://www.facebook.com/sap
agricultural bank of china,104700000000,35097000000,160760000000,459000,,china,https://en.wikipedia.org/wiki/agricultural bank of china,,
intuit,12726000000,2066000000,160710000000,13500,sasan k goodarzi,usa,https://en.wikipedia.org/wiki/intuit,https://twitter.com/intuit,https://www.facebook.com/intuit
meituan dianping,28141000000,-3698000000,160510000000,58390,wang xing,china,https://en.wikipedia.org/wiki/meituan-dianping,,
royal bank of canada,35376000000,12230000000,159750000000,85301,david i mckay,canada,https://en.wikipedia.org/wiki/royal bank of canada,https://twitter.com/rbc,https://www.facebook.com/rbc
advanced micro devices amd,16434000000,3162000000,159410000000,15500,lisa su,usa,https://en.wikipedia.org/wiki/advanced micro devices,https://twitter.com/amd,https://www.facebook.com/amd/
sony corporation,72397000000,6437000000,156010000000,109700,kenichiro yoshida,japan,https://en.wikipedia.org/wiki/sony,https://twitter.com/sony,https://www.facebook.com/sonyphilippines
philip morris international,31405000000,9109000000,154340000000,69900,jacek olczak,usa,https://en.wikipedia.org/wiki/philip morris international,https://twitter.com/insidepmi,https://www.facebook.com/insidepmi/
ping an insurance group company of china,202290000000,15964000000,150120000000,362000,ma mingzhe,china,https://en.wikipedia.org/wiki/ping an insurance,https://twitter.com/pingan group lang=en,
honeywell international,34392000000,5542000000,148530000000,99000,darius adamczyk,usa,https://en.wikipedia.org/wiki/honeywell,https://twitter.com/honeywell,https://www.facebook.com/honeywell/
toronto-dominion bank,32501000000,10803000000,144320000000,89464,bharat masrani,canada,https://en.wikipedia.org/wiki/toronto%e2%80%93dominion bank,https://twitter.com/tdbank us lang=en,https://www.facebook.com/tdbankgroup
petrochina company,380440000000,13413000000,143700000000,476223,wang dongjin,china,https://en.wikipedia.org/wiki/petrochina,https://twitter.com/chinapetro lang=en,
christian dior,70765000000,5450000000,143380000000,128339,pietro beccari,france,https://en.wikipedia.org/wiki/christian dior se,https://twitter.com/dior,https://www.facebook.com/dior/
shopify,4611000000,2914000000,143340000000,7000,tobias lutke,canada,https://en.wikipedia.org/wiki/shopify,,https://www.facebook.com/shopify/
keyence corporation,5511000000,2214000000,142420000000,8380,yu nakata,japan,https://en.wikipedia.org/wiki/keyence,,
medtronic,31677000000,5038000000,141390000000,90000,geoffrey s martha,ireland,https://en.wikipedia.org/wiki/medtronic,https://twitter.com/medtronic,https://www.facebook.com/medtronic/
bristol-myers squibb company,46385000000,6994000000,139460000000,32200,giovanni caforio,usa,https://en.wikipedia.org/wiki/bristol-myers squibb,https://twitter.com/bmsnews,https://www.facebook.com/bristolmyerssquibb/
siemens,68616000000,6788000000,138710000000,303000,roland busch,germany,https://en.wikipedia.org/wiki/siemens,https://twitter.com/siemens,https://www.facebook.com/siemens
totalenergies se,184630000000,16032000000,138010000000,105476,patrick pouyanne,france,https://en.wikipedia.org/wiki/totalenergies,,
cvs health corporation,292110000000,7910000000,137540000000,295000,karen s lynch,usa,https://en.wikipedia.org/wiki/cvs health,,
unilever group,57793000000,6666000000,137220000000,149000,alan jope,netherlands uk,https://en.wikipedia.org/wiki/unilever,https://twitter.com/unilever,https://www.facebook.com/unilever
t-mobile us,80118000000,3024000000,137070000000,75000,mike sievert,usa,https://en.wikipedia.org/wiki/t-mobile us,https://twitter.com/tmobile,
bank of china,76991000000,33270000000,135640000000,306322,gao yingxin,china,https://en.wikipedia.org/wiki/bank of china,,
blackrock,19374000000,5901000000,135550000000,16500,larry fink,usa,https://en.wikipedia.org/wiki/blackrock,,
schwarz group,123070000000,,,500000,,germany,https://en.wikipedia.org/wiki/schwarz gruppe,,
raytheon technologies corporation,64388000000,3864000000,135370000000,174000,gregory hayes,usa,https://en.wikipedia.org/wiki/united technologies,https://twitter.com/utc,
american express company,42838000000,8060000000,135070000000,64000,stephen squeri,usa,https://en.wikipedia.org/wiki/american express,https://twitter.com/americanexpress,https://www.facebook.com/americanexpress
volkswagen,250120000000,14839000000,134250000000,662575,herbert diess,germany,https://en.wikipedia.org/wiki/volkswagen group,,
applied materials,23063000000,5888000000,134000000000,27000,gary e dickerson,usa,https://en.wikipedia.org/wiki/applied materials,https://twitter.com/applied blog,https://www.facebook.com/appliedmaterialsinc
hsbc holdings,63644000000,12607000000,132940000000,223448,noel quinn,uk,https://en.wikipedia.org/wiki/hsbc,https://twitter.com/hsbc,https://www.facebook.com/hsbc
the goldman sachs group,64989000000,21635000000,132600000000,43900,david m solomon,usa,https://en.wikipedia.org/wiki/goldman sachs,https://twitter.com/goldmansachs,https://www.facebook.com/goldmansachs/
wuliangye yibin,9635000000,3402000000,132390000000,26348,chen lin,china,https://en.wikipedia.org/wiki/wuliangye yibin,https://twitter.com/wuliangyepinpai,https://www.facebook.com/wuliangyeglobal/
citi group,71887000000,20758000000,130530000000,223400,jane fraser,usa,https://en.wikipedia.org/wiki/citigroup,https://twitter.com/citi,
china mobile,133260000000,18247000000,130510000000,454332,li yue,china,https://en.wikipedia.org/wiki/china mobile,,
amgen,25979000000,5893000000,128030000000,24200,robert a bradway,usa,https://en.wikipedia.org/wiki/amgen,https://twitter.com/amgen,
youtube,,,,,susan wojcicki,usa,https://en.wikipedia.org/wiki/youtube,,
estee lauder companies,17737000000,2390000000,127760000000,62000,fabrizio freda,usa,https://en.wikipedia.org/wiki/est%c3%a9e lauder companies,,https://www.facebook.com/esteelauder/
boeing company,62286000000,-4202000000,126650000000,141014,dave calhoun,usa,https://en.wikipedia.org/wiki/boeing,https://twitter.com/boeing lang=en,https://www.facebook.com/boeing/
sanofi,43171000000,6858000000,126370000000,95442,paul hudson,france,https://en.wikipedia.org/wiki/sanofi,,
starbucks corporation,29060000000,4199000000,126200000000,383000,laxman narasimhan,usa,https://en.wikipedia.org/wiki/starbucks,https://twitter.com/starbucks,https://www.facebook.com/starbucks
commonwealth bank of australia,16562000000,7456000000,125770000000,49245,matt comyn,australia,https://en.wikipedia.org/wiki/commonwealth bank,https://twitter.com/commbank,
aia group,47525000000,7427000000,125620000000,23000,lee yuan siong,hong kong,https://en.wikipedia.org/wiki/aia group,https://twitter.com/aiagroup press,
diageo,18200000000,3827000000,123290000000,28025,ivan menezes,uk,https://en.wikipedia.org/wiki/diageo,,
american tower corporation reit,9356000000,2567000000,121400000000,5618,tom bartlett,usa,https://en.wikipedia.org/wiki/american tower,,
caterpillar,50971000000,6489000000,121270000000,107700,jim umpleby,usa,https://en.wikipedia.org/wiki/caterpillar inc.,,
ibm,57350000000,5743000000,120850000000,375300,arvind krishna,usa,https://en.wikipedia.org/wiki/ibm,https://twitter.com/ibm,https://www.facebook.com/ibm
rio tinto group,63495000000,21094000000,116980000000,49000,jakob stausholm,uk,https://en.wikipedia.org/wiki/rio tinto group,https://twitter.com/riotinto,
deere & company,43932000000,5963000000,116400000000,75600,john c may,usa,https://en.wikipedia.org/wiki/john deere,https://twitter.com/johndeere,https://www.facebook.com/johndeere
intuitive surgical,5710000000,1704000000,115850000000,9793,gary s guthart,usa,https://en.wikipedia.org/wiki/intuitive surgical,,
hdfc bank,12743000000,4825000000,114330000000,161027,sashidhar jagdishan,india,https://en.wikipedia.org/wiki/hdfc bank,https://twitter.com/hdfc bank,https://www.facebook.com/hdfc.bank/
prologis,4759000000,2939000000,113660000000,2053,hamid moghadam,usa,https://en.wikipedia.org/wiki/prologis,https://twitter.com/prologis,https://www.facebook.com/prologis/
servicenow,5896000000,230000000,112710000000,16881,bill mcdermott,usa,https://en.wikipedia.org/wiki/servicenow,https://twitter.com/servicenow,
general electric company,74196000000,-6520000000,111350000000,168000,h lawrence culp jr,usa,https://en.wikipedia.org/wiki/general electric,https://twitter.com/generalelectric,https://www.facebook.com/ge
target corporation,106000000000,6946000000,110570000000,409000,brian cornell,usa,https://en.wikipedia.org/wiki/target corporation,,https://www.facebook.com/target
glaxosmithkline,44655000000,5740000000,110320000000,99000,dame emma walmsley,uk,https://en.wikipedia.org/wiki/glaxosmithkline,https://twitter.com/gsk,https://www.facebook.com/gsk
china life insurance company,133170000000,8000000000,109770000000,104160,dairen lin,china,https://en.wikipedia.org/wiki/china life insurance company,,
anheuser-busch inbev,54304000000,4669000000,109500000000,164000,michel doukeris,belgium,https://en.wikipedia.org/wiki/anheuser-busch inbev,https://twitter.com/abinbev,
charter communications,51682000000,4654000000,109450000000,93700,thomas m rutledge,usa,https://en.wikipedia.org/wiki/charter communications,,https://www.facebook.com/spectrum
gazprom,168300000000,34221000000,108150000000,473800,alexey miller,russia,https://en.wikipedia.org/wiki/gazprom,,
s&p global,8297000000,3024000000,107670000000,22850,douglas l peterson,usa,https://en.wikipedia.org/wiki/s%26p global,,https://www.facebook.com/sandpglobal/
schneider electric,31853000000,3531000000,107120000000,166025,jean-pascal tricoire,france,https://en.wikipedia.org/wiki/schneider electric,https://twitter.com/schneiderelec,https://www.facebook.com/schneiderelectricfr/
ingram micro,49100000000,,,26037,,usa,https://en.wikipedia.org/wiki/ingram micro,,
vanguard group,6936000000,,,18800,,usa,https://en.wikipedia.org/wiki/the vanguard group,,
conocophillips company,45828000000,8079000000,106360000000,10100,ryan lance,usa,https://en.wikipedia.org/wiki/conocophillips,,
jdcom,149500000000,-559000000,106000000000,314906,liu qiangdong,china,https://en.wikipedia.org/wiki/jd.com,https://twitter.com/jd corporate,https://www.facebook.com/jd.cominc/
micron technology,27705000000,5861000000,105800000000,43000,sanjay mehrotra,usa,https://en.wikipedia.org/wiki/micron technology,,
anthem,,6104000000,105580000000,63900,gail koziara boudreaux,usa,https://en.wikipedia.org/wiki/anthem  company ,,
airbnb,5991000000,-352000000,105510000000,6132,brian chesky,usa,https://en.wikipedia.org/wiki/airbnb,,
airbus,57468000000,4643000000,105090000000,125888,guillaume faury,netherlands,https://en.wikipedia.org/wiki/airbus,https://twitter.com/airbus,https://www.facebook.com/airbus/
koch industries,110000000000,,,122000,,usa,https://en.wikipedia.org/wiki/koch industries,,
bytedance,17000000000,,,60000,,china,https://en.wikipedia.org/wiki/bytedance,,
sea limited,9955000000,-2046000000,104350000000,33800,forrest li,singapore,https://en.wikipedia.org/wiki/garena,,
3m company,35355000000,5921000000,103700000000,95000,mike roman,usa,https://en.wikipedia.org/wiki/3m,https://twitter.com/3m,
allianz se,114040000000,7284000000,103280000000,150269,oliver bate,germany,https://en.wikipedia.org/wiki/allianz,https://twitter.com/allianz es,https://www.facebook.com/allianz
infosys,16311000000,2968000000,102720000000,345218,salil parekh,india,https://en.wikipedia.org/wiki/infosys,https://twitter.com/infosys,https://www.facebook.com/infosys/
merck kgaa on,21695000000,3367000000,102500000000,58408,belen garijo,germany,https://en.wikipedia.org/wiki/merck group,https://twitter.com/merckgroup,https://www.facebook.com/merckgroup
nippon telegraph and telephone corporation,88706000000,8618000000,101570000000,303350,jun sawada,japan,https://en.wikipedia.org/wiki/nippon telegraph and telephone,https://twitter.com/nttpr,https://www.facebook.com/nttgroup/
ntt docomo,34022000000,4677000000,101260000000,27558,motoyuki ii,japan,https://en.wikipedia.org/wiki/ntt docomo,https://twitter.com/docomo,https://www.facebook.com/docomo.official
kering,19445000000,3499000000,101130000000,38553,francois-henri pinault,france,https://en.wikipedia.org/wiki/kering,,
automatic data processing adp,16046000000,2948000000,100640000000,56000,carlos a rodriguez,usa,https://en.wikipedia.org/wiki/automatic data processing,https://twitter.com/adp,https://www.facebook.com/automaticdataprocessing
booking holdings,10958000000,1165000000,99972000000,19400,glenn d fogel,usa,https://en.wikipedia.org/wiki/booking holdings,,
zoetis,7776000000,2037000000,99872000000,12100,juan ramon alaix,usa,https://en.wikipedia.org/wiki/zoetis,https://twitter.com/zoetis,https://www.facebook.com/zoetis/
stryker corporation,17108000000,1994000000,99429000000,43000,kevin a lobo,usa,https://en.wikipedia.org/wiki/stryker corporation,https://twitter.com/stryker jobs,
lockheed martin corporation,67044000000,6315000000,99322000000,114000,james d taiclet,usa,https://en.wikipedia.org/wiki/lockheed martin,https://twitter.com/lockheedmartin,https://www.facebook.com/lockheedmartin
inditex industria de diseno textil,27708000000,3242000000,98655000000,144116,pablo isla,spain,https://en.wikipedia.org/wiki/inditex,,
ford motor company,136340000000,17937000000,97668000000,183000,jim farley,usa,https://en.wikipedia.org/wiki/ford motor company,,
bp plc,157740000000,7565000000,97619000000,60000,bernard looney,uk,https://en.wikipedia.org/wiki/bp,https://twitter.com/bp plc,
csl,10493000000,2254000000,97072000000,25000,paul perreault,australia,https://en.wikipedia.org/wiki/csl limited,https://twitter.com/csl,
al rajhi banking and investment corporation,6835000000,3931000000,94931000000,13716,waleed a al-mogbel,saudi arabia,https://en.wikipedia.org/wiki/al-rajhi bank,,
robert bosch,91686000000,,,400000,,germany,https://en.wikipedia.org/wiki/robert bosch gmbh,,
the pnc financial services group,19135000000,5409000000,94557000000,59426,william s demchak,usa,https://en.wikipedia.org/wiki/pnc financial services,https://twitter.com/pncbank,https://www.facebook.com/pncbank
saudi basic industries corporation sabic,46634000000,6151000000,94398000000,32721,yousef al-benyan,saudi arabia,https://en.wikipedia.org/wiki/sabic,,
lam research corporation,17227000000,4605000000,94235000000,14100,timothy m archer,usa,https://en.wikipedia.org/wiki/lam research,https://twitter.com/lamresearch,https://www.facebook.com/lamresearchcorporation/
mondelez international,28720000000,4300000000,94230000000,79000,dirk van de put,usa,https://en.wikipedia.org/wiki/mondelez international,https://twitter.com/mdlz,https://www.facebook.com/mondelezinternational/
byd company,31453000000,443000000,92257000000,224300,,china,https://en.wikipedia.org/wiki/byd auto,,
deutsche telekom ag,119890000000,4602000000,92028000000,226291,timotheus hottges,germany,https://en.wikipedia.org/wiki/deutsche telekom,https://twitter.com/telekom group,https://www.facebook.com/telekomerleben/
snowflake,1219000000,-679000000,91792000000,2495,frank slootman,usa,https://en.wikipedia.org/wiki/snowflake inc.,,
altria group,21111000000,2464000000,91427000000,6000,billy gifford,usa,https://en.wikipedia.org/wiki/altria,https://twitter.com/altrianews,
audi ag,212870000000,,,90640,markus duesmann,germany,https://en.wikipedia.org/wiki/audi,,
deloitte,47600000000,,,300000,anders dons,uk,https://en.wikipedia.org/wiki/deloitte,https://twitter.com/deloitte,https://www.facebook.com/deloitteindia
bnp paribas,0,10456000000,90457000000,190000,jean-laurent bonnafe,france,https://en.wikipedia.org/wiki/bnp paribas,https://twitter.com/bnpparibas sav,https://www.facebook.com/mabanque.bnpparibas/
us bancorp,22721000000,7605000000,90451000000,68796,andrew cecere,usa,https://en.wikipedia.org/wiki/u.s. bancorp,,
general motors company,127000000000,10019000000,90407000000,157000,mary barra,usa,https://en.wikipedia.org/wiki/general motors,https://twitter.com/generalmotorsmx,
