name,master_cap,country,industry,sector
evraz plc,"(jan. 1, 2022)",united kingdom,steel,basic materials
spirax-sarco engineering plc,12140000000,united kingdom,specialty industrial machinery,industrials
informa plc,11800000000,united kingdom,publishing,communication services
ocado group plc,11540000000,united kingdom,grocery stores,consumer staples
intertek group plc,11030000000,united kingdom,consulting services,industrials
rolls-royce holdings plc,10970000000,united kingdom,aerospace & defense,industrials
schroders plc,10480000000,united kingdom,asset management,financials
next plc,10440000000,united kingdom,apparel retail,consumer discretionary
united utilities group plc,10300000000,united kingdom,utilitiesregulated water,utilities
st james's place plc,10210000000,united kingdom,financial conglomerates,financials
severn trent plc,10120000000,united kingdom,utilitiesregulated water,utilities
jd sports fashion plc,10000000000,united kingdom,specialty retail,consumer discretionary
admiral group plc,9960000000,united kingdom,insuranceproperty & casualty,financials
the sage group plc,9830000000,united kingdom,softwareapplication,technology
wm morrison supermarkets plc,"(oct. 1, 2021)",united kingdom,grocery stores,consumer staples
aveva group plc,9600000000,united kingdom,softwareapplication,technology
mondi plc,9510000000,united kingdom,paper & paper products,basic materials
standard life aberdeen plc,"(march 13, 2021)",united kingdom,asset management,financials
pentair plc,9320000000,united kingdom,specialty industrial machinery,industrials
persimmon plc,9070000000,united kingdom,residential construction,consumer discretionary
burberry group plc,8900000000,united kingdom,luxury goods,consumer discretionary
novocure limited,8539999999,united kingdom,medical instruments & supplies,healthcare
endava plc,8100000000,united kingdom,softwareinfrastructure,technology
phoenix group holdings plc,8100000000,united kingdom,insurancelife,financials
auto trader group plc,8029999999,united kingdom,internet content & information,communication services
nepi rockcastle plc,7940000000,united kingdom,real estatediversified,real estate
melrose industries plc,7930000000,united kingdom,specialty industrial machinery,industrials
pershing square holdings ord,7880000000,united kingdom,asset management,financials
capri holdings limited,7790000000,united kingdom,apparel manufacturing,consumer discretionary
meggitt plc,7790000000,united kingdom,aerospace & defense,industrials
land securities group plc,7760000000,united kingdom,reitdiversified,real estate
m&g plc,7590000000,united kingdom,asset management,financials
smiths group plc,7570000000,united kingdom,specialty industrial machinery,industrials
whitbread plc,7550000000,united kingdom,restaurants,consumer discretionary
pearson plc,7520000000,united kingdom,publishing,communication services
j sainsbury plc,7420000000,united kingdom,grocery stores,consumer staples
allfunds group plc,7280000000,united kingdom,asset management,financials
